DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,19,105404
SOL02-208-GSSS RAJRI AT JABLI,Total, , , ,19,105404
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,3,130
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,3,130
 , , ,09/02/2018,Total,1,50
 , , , ,"[D0070000003] HIMGRN:B18A143380, PGSSS RJABLI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,50
 , , ,09/03/2018,Total,1,10
 , , , ,"[E0070000001] HIMGRN:B18C100782, PRINCIPAL GSSS RAJRI JABLI RECEIPT FROM RIGHT TO INFORMATION ACT -REceived Amount of RS 10/- only from Smt Poonam Sharma admini",1,10
 , , ,31/03/2018,Total,1,70
 , , , ,"[E0070000036] HIMGRN:B18C145257, PRIGSSSJABLI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,70
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,13,104211
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,11,26085
 , , ,20/04/2017,Total,1,2105
 , , , ,"[F0202000002] HIMGRN:B17D126503, PRIGSSSJABLI TUITION AND OTHER FEES -adm fees and tution fees for 9th,10th 10+1 and 10+2",1,2105
 , , ,29/04/2017,Total,1,3620
 , , , ,"[F0202000011] HIMGRN:B17D157569, PRIN GSSS RAJRIJABLI TUITION AND OTHER FEES -",1,3620
 , , ,22/05/2017,Total,1,615
 , , , ,"[G0202000010] HIMGRN:B17E119457, PGSSSRAJRI JABLI TUITION AND OTHER FEES -adms fees ,tution fees , late adm fees",1,615
 , , ,08/06/2017,Total,1,350
 , , , ,"[H0202000002] HIMGRN:B17E150674, PRINCIPAL GSSS RAJRI JABLI TUITION AND OTHER FEES -ADM FEES SLC FEES TUTION FEES",1,350
 , , ,10/08/2017,Total,1,7085
 , , , ,"[J0202000001] HIMGRN:B17H101035, PGSSSRAJRIJABLI TUITION AND OTHER FEES -",1,7085
 , , ,08/09/2017,Total,1,160
 , , , ,"[K0202000001] HIMGRN:B17I100980, PRIGSSSRAJRIJABLI TUITION AND OTHER FEES -",1,160
 , , ,30/11/2017,Total,1,20
 , , , ,"[M0202000008] HIMGRN:b17k126701, PRINCIPAL GSSS RAJRI JABLI TUITION AND OTHER FEES -",1,20
 , , ,22/03/2018,Total,1,25
 , , , ,"[E0202000006] HIMGRN:B18C109326, PGSSSJABI TUITION AND OTHER FEES -",1,25
 , , ,27/04/2018,Total,1,5740
 , , , ,"[F0202000020] HIMGRN:B18D171208, PGSSSRAJIJABLI TUITION AND OTHER FEES -Adm Fees,tution Fees,late adm fees,SLC fee",1,5740
 , , ,21/05/2018,Total,1,615
 , , , ,"[G0202000016] HIMGRN:B18E130828, PRINCIPAL GSSS RAJRI JABLI TUITION AND OTHER FEES -Tution fess,adm fees,slc fees,late adm fees",1,615
 , , ,10/07/2018,Total,1,5750
 , , , ,"[I0202000002] HIMGRN:B18F146289, PRINCIPAL GSSS RAJRI JABLI TUITION AND OTHER FEES -",1,5750
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,1,12500
 , , ,22/03/2018,Total,1,12500
 , , , ,"[E0202000005] HIMGRN:B18C109319, PGSSSJABI MISCELLANEOUS RECEIPTS -",1,12500
 , ,0202-01-600-01-RECOVERIES OF OVER PAYMENT,Total, ,1,65626
 , , ,21/09/2017,Total,1,65626
 , , , ,"[K0202000005] HIMGRN:B17I109175, PRIGSSS RAJRI JABLI RECOVERIES OF OVER PAYMENT -Recovery of over payment received from Smt.Seema Rana TGT",1,65626
 ,8011-INSURANCE AND PENSION FUNDS,Total, , ,3,1063
 , ,8011-00-107-01-INSURANCE FUND,Total, ,3,342
 , , ,31/10/2017,Total,1,9
 , , , ,"[L8011000001] HIMGRN:B17J138355, PGSSS RAJRI JABLI INSURANCE FUND -RECEIVED FROM SH.SUSHEEL KUMAR PGT IP ON ACCOUNT OF INSURANCE FUND FOR THE MONTH OF",1,9
 , , ,27/04/2018,Total,1,63
 , , , ,"[F8011000004] HIMGRN:B18D171070, PGSSSJABLI SAVING FUND INSURANCE FUND -Received from susheel Kaushal pgt on account of insurance fund worth Rs",1,63
 , , ,21/05/2018,Total,1,270
 , , , ,"[G8011000003] HIMGRN:B18E130744, PRINCIPAL GSSS RAJRI JABLI SAVING FUND INSURANCE FUND -Rs 970/- only Nine Hundred Only receiced from Smt Sudershna Kumari TGT S",1,270
 , ,8011-00-107-02-SAVING FUND,Total, ,2,721
 , , ,27/04/2018,Total,1,21
 , , , ,"[F8011000004] HIMGRN:B18D171070, PGSSSJABLI SAVING FUND INSURANCE FUND -Received from susheel Kaushal pgt on account of insurance fund worth Rs",1,21
 , , ,21/05/2018,Total,1,700
 , , , ,"[G8011000003] HIMGRN:B18E130744, PRINCIPAL GSSS RAJRI JABLI SAVING FUND INSURANCE FUND -Rs 970/- only Nine Hundred Only receiced from Smt Sudershna Kumari TGT S",1,700
