DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,10,5018
SOL07-210-HEADMASTER GHS HARIPUR,Total, , , ,10,5018
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,10,5018
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,9,4190
 , , ,31/05/2017,Total,2,1105
 , , , ,"[G0202000003] HIMGRN:B17E109831, PRINCIPAL TUITION AND OTHER FEES -",1,1040
 , , , ,"[G0202000008] HIMGRN:B17E135254, PRINCIPAL HARIPUR TUITION AND OTHER FEES -",1,65
 , , ,30/06/2017,Total,1,15
 , , , ,"[H0202000004] HIMGRN:B17F124790, PRINCIPAL TUITION AND OTHER FEES -",1,15
 , , ,31/07/2017,Total,1,720
 , , , ,"[I0202000005] HIMGRN:B17G129964, P GSSS HARIPUR TUITION AND OTHER FEES -",1,720
 , , ,31/10/2017,Total,1,675
 , , , ,"[L0202000004] HIMGRN:B17J124438, PRINCIPAL GSSS HARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,675
 , , ,31/03/2018,Total,1,165
 , , , ,"[E0202000004] HIMGRN:B18C111003, PRINCIPAL GSSSHARIPUR TUITION AND OTHER FEES -",1,165
 , , ,27/04/2018,Total,1,950
 , , , ,"[F0202000007] HIMGRN:B18D157408, PRICIPAL GSSSHARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,950
 , , ,29/05/2018,Total,1,20
 , , , ,"[G0202000016] HIMGRN:B18E128811, PRINCIPAL GSSS HARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,20
 , , ,31/07/2018,Total,1,540
 , , , ,"[I0202000002] HIMGRN:B18G123130, PRINCIPAL GSSS HARIPUR TUITION AND OTHER FEES -",1,540
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,3,35
 , , ,31/10/2017,Total,1,5
 , , , ,"[L0202000004] HIMGRN:B17J124438, PRINCIPAL GSSS HARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,5
 , , ,27/04/2018,Total,1,20
 , , , ,"[F0202000007] HIMGRN:B18D157408, PRICIPAL GSSSHARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,20
 , , ,29/05/2018,Total,1,10
 , , , ,"[G0202000016] HIMGRN:B18E128811, PRINCIPAL GSSS HARIPUR MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,10
 , ,0202-01-600-03-MISCELLANEOUS RECEIPTS,Total, ,1,793
 , , ,29/09/2017,Total,1,793
 , , , ,"[K0202000002] HIMGRN:B17I135973, PRINCIPAL GSSS HARIPUR MISCELLANEOUS RECEIPTS -",1,793
