DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,19,33760
SOL08-219-PRINCIPAL GOVT DEGREE DARLA,Total, , , ,19,33760
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,19,33760
 , ,0202-01-103-01-TUTION AND OTHER FEES,Total, ,19,33760
 , , ,30/06/2018,Total,6,24525
 , , , ,"[H0202000020] HIMGRN:B18F135403, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,1500
 , , , ,"[H0202000021] HIMGRN:B18F134477, PRINCIPAL TUTION AND OTHER FEES -",1,4375
 , , , ,"[H0202000022] HIMGRN:b18f138102, PRINCIPAL GDC DARLAGHAT SOLAN HP TUTION AND OTHER FEES -",1,9700
 , , , ,"[H0202000025] HIMGRN:b18f141515, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,1375
 , , , ,"[H0202000026] HIMGRN:b18f139963, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,5175
 , , , ,"[H0202000029] HIMGRN:B18F144363, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,2400
 , , ,10/07/2018,Total,1,2775
 , , , ,"[I0202000001] HIMGRN:B18G101498, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,2775
 , , ,31/07/2018,Total,6,2325
 , , , ,"[I0202000006] HIMGRN:B18G123952, PRINCIPAL TUTION AND OTHER FEES -",1,325
 , , , ,"[I0202000007] HIMGRN:B18G127250, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,650
 , , , ,"[I0202000008] HIMGRN:B18G129191, PRINCIPAL TUTION AND OTHER FEES -",1,325
 , , , ,"[I0202000011] HIMGRN:B18G133763, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,650
 , , , ,"[I0202000012] HIMGRN:B18G135353, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,350
 , , , ,"[I0202000013] HIMGRN:B18G137048, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,25
 , , ,10/08/2018,Total,1,125
 , , , ,"[J0202000001] HIMGRN:b18h100865, PRINCIPAL TUTION AND OTHER FEES -",1,125
 , , ,31/08/2018,Total,5,4010
 , , , ,"[J0202000003] HIMGRN:B18H110943, PRINCIPAL TUTION AND OTHER FEES -",1,185
 , , , ,"[J0202000004] HIMGRN:b18h113374, PRINCIPAL TUTION AND OTHER FEES -",1,100
 , , , ,"[J0202000009] HIMGRN:B18H121752, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,1425
 , , , ,"[J0202000013] HIMGRN:b18h128837, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,2200
 , , , ,"[J0202000014] HIMGRN:b18h131173, PRINCIPAL GDC DARLAGHAT TUTION AND OTHER FEES -",1,100
