DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,3911443
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),Total, , , ,6,3911443
 ,0029-LAND REVENUE,Total, , ,4,3910059
 , ,0029-00-800-09-MISCELLANEOUS RECEIPTS,Total, ,4,3910059
 , , ,05/05/2017,Total,2,1816096
 , , , ,"[G0029000004] HIMGRN:B17E110977, VINEY AC-CUM-LAO(R) MISCELLANEOUS RECEIPTS -Miscellanious receipts-reimbursement of salary of regular staff of land Acqu",1,6
 , , , ,"[G0029000005] HIMGRN:B17E109234, VINEY AC-CUM-LAO(R) MISCELLANEOUS RECEIPTS -Misce. receipt -reimbursement of salary and allowances of regular st aff of",1,1816090
 , , ,07/07/2018,Total,1,277867
 , , , ,"[I0029000007] HIMGRN:B18G107714, VARINDER MISCELLANEOUS RECEIPTS -Misc.receipt re-impursement of salary of regular staff of Land Acquisition O",1,277867
 , , ,18/07/2018,Total,1,1816096
 , , , ,"[I0029000017] HIMGRN:B18G103976, VARINDER MISCELLANEOUS RECEIPTS -misc.receipt-reimbursement of salary of regular staff of Land Acquisition Of",1,1816096
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,1384
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,2,1384
 , , ,05/04/2018,Total,1,838
 , , , ,"[F0070000024] HIMGRN:B18D107009, VARINDER SINGH RECEIPT FROM RIGHT TO INFORMATION ACT -money collected on account of providing of information under",1,838
 , , ,06/07/2018,Total,1,546
 , , , ,"[I0070000018] HIMGRN:B18G104167, VARINDER RECEIPT FROM RIGHT TO INFORMATION ACT -receipt from the fee collected for providing information unde",1,546
