DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
BLP00-212-GSSS BOYS BILASPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,29/08/2018,"[J0070000085] HIMGRN:B18H138047, PRINCIPAL GSSS BOYS BILASPUR RECEIPT FROM RIGHT TO INFORMATION ACT -fee of RTI in formation",1,12
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,06/03/2018,"[E0202000008] HIMGRN:B18C106712, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -COST OF LOST LIBRARY BOOKS OF GMS LAKHANPUR",1,240
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2017,"[F0202000043] HIMGRN:B17D171414, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSIN AND TUTION FEE PLUS ONE AND PLUS TWO",1,13485
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,01/05/2017,"[G0202000001] HIMGRN:B17E100429, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH TO 10TH",1,406
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,04/05/2017,"[G0202000006] HIMGRN:B17E109325, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEEE PLUS ONE AND PLUS TWO",1,1505
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,26/05/2017,"[G0202000103] HIMGRN:B17E144193, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUITION FEE 9TH TO +2",1,2287
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,07/06/2017,"[H0202000004] HIMGRN:B17F110621, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -admission and tuition fee",1,200
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,28/08/2017,"[J0202000056] HIMGRN:B17H135467, PRINCIPAL GSSS BOYS BILAPSUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH TO 10=2",1,12267
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000055] HIMGRN:B17I136888, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -Tution and Re-Admission fee of 9th to 10+2",1,2193
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/11/2017,"[M0202000028] HIMGRN:B17K122405, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH CLASS TO PLUS TWO",1,22241
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,12/03/2018,"[E0202000024] HIMGRN:B18C115496, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -RE ADMISSION AND TUTION FEE",1,1716
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,13/04/2018,"[F0202000009] HIMGRN:B18D139311, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE OF PLUS ONE AND PLUS TWO",1,8140
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/05/2018,"[G0202000005] HIMGRN:B18E105431, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH TO PLUS TWO",1,6061
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/05/2018,"[G0202000021] HIMGRN:B18E118784, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE PLUS ONE AND PLUS TWO",1,845
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,28/05/2018,"[G0202000130] HIMGRN:B18E145583, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH TO PLUS TWO",1,479
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000074] HIMGRN:B18F144662, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE FROM 9TH TO PLUS TWO",1,370
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/08/2018,"[J0202000063] HIMGRN:B18H137692, PRINCIPAL GSSS BOYS BILASPUR TUITION AND OTHER FEES -ADMISSION AND TUTION FEE 9TH TO 10+2",1,5815
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,12/06/2017,"[H0202000006] HIMGRN:B17F113489, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -Amount of write off cases of library books",1,531
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,18/08/2017,"[J0202000009] HIMGRN:B17H120846, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -amount of write off library gazettes (old)",1,10
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,09/03/2018,"[E0202000019] HIMGRN:B18C112958, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -RECOVERY OF OVER PAYMENT IN RESPECT OF RETIRED NDSI SH. RAM LAL PUNDEER AND",1,1568
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,09/04/2018,"[F0202000003] HIMGRN:B18D124765, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -",1,900
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,06/06/2018,"[H0202000010] HIMGRN:B18F107621, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -RECOVERY OF HRA IN R/O SH VIKAS THAKUR PGT FOR THE MONTH OF APRIL AND MAY 20",1,1134
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,06/06/2017,"[H0202000003] HIMGRN:B17F108553, PRINCIPAL GSSS BOYS BILAPSUR RECOVERIES OF OVER PAYMENT -",1,539
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,20/06/2017,"[H0202000053] HIMGRN:B17F129298, PRINCIPAL GSSS BOYS BILASPUR RECOVERIES OF OVER PAYMENT -RECOVERY OF OVER PAYMENT OF SALARY W.E.F.27-05-2017 TO 31-05-2017",1,2759
BLP00-212-GSSS BOYS BILASPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-03-MISCELLANEOUS RECEIPTS,28/05/2018,"[G0202000131] HIMGRN:B18E147414, PRINCIPAL GSSS BOYS BILASPUR MISCELLANEOUS RECEIPTS -Recovery of HRA and license fee in r/o Smt. Meena Kumari,Peon for the month",1,406
