DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
BLP01-736-EE IPH DIVISION BILASPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,23/05/2017,[G0070000004] EE IPH DIV. BILASPUR RTI,1,10
BLP01-736-EE IPH DIVISION BILASPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,24/07/2018,"[I0070000003] HIMGRN:B18G130216, SUKH RAM RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/05/2017,"[G8782000004] HIMGRN:B17E136131, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,1500
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/06/2017,"[H8782000001] HIMGRN:B17F100447, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,266130
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/07/2017,"[I8782000002] HIMGRN:B17G135434, AE IPH SWARGHAT PUBLIC WORKS REMITTANCES -",1,1500
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/08/2017,"[J8782000002] HIMGRN:B17H129955, AE IPH PUBLIC WORKS REMITTANCES -",1,5443
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,22/09/2017,"[K8782000002] HIMGRN:B17I127646, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,28750
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,21/10/2017,"[L8782000001] HIMGRN:B17J118927, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,11400
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,23/11/2017,"[M8782000001] HIMGRN:B17K122785, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,224200
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,23/11/2017,"[M8782000002] HIMGRN:B17K124280, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,73992
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/12/2017,"[N8782000002] HIMGRN:B17L127852, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,23914
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/01/2018,"[C8782000003] HIMGRN:B18A136905, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,37325
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,28/02/2018,"[D8782000002] HIMGRN:b18b130116, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,11000
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/03/2018,"[E8782000004] HIMGRN:b18c148789, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,35031
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,27/04/2018,"[F8782000002] HIMGRN:b18d164765, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,241312
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/05/2018,"[G8782000002] HIMGRN:b18e132353, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,136183
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2018,"[H8782000003] HIMGRN:b18f133795, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,118199
BLP01-736-EE IPH DIVISION BILASPUR,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,27/08/2018,"[J8782000002] HIMGRN:B18H130142, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,1600
