DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000001] HIMGRN:B17D114379, PRINCIPAL TUITION AND OTHER FEES -",1,2160
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,23/05/2017,"[G0202000005] HIMGRN:B17E104857, PRINCIPAL TUITION AND OTHER FEES -",1,3055
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000014] HIMGRN:B17H120143, PRINCIPAL TUITION AND OTHER FEES -",1,2295
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000008] HIMGRN:B17L127607, PRINCIPAL TUITION AND OTHER FEES -",1,1935
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000010] HIMGRN:B18D147193, PRINCIPAL TUITION AND OTHER FEES -",1,1935
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000011] HIMGRN:B18D147291, PRINCIPAL TUITION AND OTHER FEES -",1,2625
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000026] HIMGRN:B18E147337, PRINCIPAL TUITION AND OTHER FEES -",1,710
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2018,"[J0202000014] HIMGRN:B18H130706, PRINCIPAL TUITION AND OTHER FEES -",1,1710
BLP03-205-GSSS SAMOH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,23/08/2018,"[J0202000006] HIMGRN:B18H106752, PRINCIPAL RECOVERIES OF OVER PAYMENT -Over payment of HRA in r/o Sh Raseel Chand Lect. Recovery pointed out by",1,2120
BLP03-205-GSSS SAMOH,0235-SOCIAL SECURITY & WELFARE,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,30/12/2017,"[N0235000004] HIMGRN:B17L127716, PRINCIPAL INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -",1,80
