DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,22/05/2017,"[G0043000001] HIMGRN:B17E128954, GGPL RECEIPT FROM ELECTRICITY DUTY -Electricity duty on Consumption of electricity",1,9536
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,22/05/2017,"[G0043000002] HIMGRN:B17E128970, GGPL RECEIPT FROM ELECTRICITY DUTY -Electricity duty on Consumption of electricity",1,40
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,22/05/2017,"[G0043000003] HIMGRN:B17E128952, GGPL RECEIPT FROM ELECTRICITY DUTY -Electricity Duty on Consumption of Electricity",1,27
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,22/05/2017,"[G0043000004] HIMGRN:B17E128943, GGPL RECEIPT FROM ELECTRICITY DUTY -Electricity duty on consumption on electricity.",1,8318
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,29/09/2017,"[K0043000001] HIMGRN:B17I136019, GINNI GLOBAL PRIVATE LIMITED RECEIPT FROM ELECTRICITY DUTY -ELECTRICITY DUTY FOR AUX.CONSUMPTION OF P/HOUSE DG 40 KVA",1,47
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,29/09/2017,"[K0043000002] HIMGRN:B17I135996, GINNI GLOBAL PRIVATE LIMITED RECEIPT FROM ELECTRICITY DUTY -ELECTRICITY DUTY FOR AUX.CONSUMPTION OF P/HOUSE STATION TRANSFORMER",1,11596
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,29/09/2017,"[K0043000003] HIMGRN:B17I135972, GINNI GLOBAL PRIVATE LIMITED RECEIPT FROM ELECTRICITY DUTY -ELECTRICITY DUTY FOR AUX.CONSUMPTION OF P/HOUSE DG 63 KVA",1,40
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,29/09/2017,"[K0043000004] HIMGRN:B17I135916, GINNI GLOBAL PRIVATE LIMTIED RECEIPT FROM ELECTRICITY DUTY -ELECTRICITY DUTY FOR AUX.CONSUMPTION OF P/HOUSE STATION TRANSFORMER",1,11040
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,21/10/2017,"[L0043000001] HIMGRN:B17J113504, IAHE PVT LTD RECEIPT FROM ELECTRICITY DUTY -",1,4008
CHM02-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-101-01-RECEIPT FROM ELECTRICITY DUTY,28/02/2018,"[D0043000001] HIMGRN:B18B135102, GINNI GLOBAL PRIVATE LIMITED TARAILA HEP RECEIPT FROM ELECTRICITY DUTY -Electricity duty for Aux.Consumption of P/House Station Transformer T",1,13339
