DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
CHM03-534-MINING OFFICER CHAMBA,0851-VILLAGE & SMALL INDUSTRIES,0851-00-102-01-RECEIPT FROM RENT OF GOVT. ACCOMDATION,09/02/2018,"[D0851000001] HIMGRN:B18B101298, SHO PS KIHAR RECEIPT FROM RENT OF GOVT. ACCOMDATION -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000001] HIMGRN:B17D139462, SP CHAMBA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -CHALLAN UNDER MINING ACT",1,12000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000001] HIMGRN:B17E116486, SDPO RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,10000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000002] HIMGRN:B17E119732, SDO(C) RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000004] HIMGRN:B17E142684, SDO(C) RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",21/06/2017,"[H0853000001] HIMGRN:B17E150421, SDO(C) RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",28/02/2018,"[D0853000001] HIMGRN:B18B119262, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",28/02/2018,"[D0853000002] HIMGRN:B18B127750, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",20/03/2018,"[E0853000001] HIMGRN:B18C103282, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,15500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/03/2018,"[E0853000002] HIMGRN:B18C133015, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,13500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000001] HIMGRN:B18D123513, SDM SALOONI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000002] HIMGRN:B18D125447, I/C PP SURNGANI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,13500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000003] HIMGRN:B18D137623, SDPO SALOONI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -COMPOUNDING MONEY OF MINING ACT",1,9000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000004] HIMGRN:B18D150284, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000005] HIMGRN:B18D150302, I/C PP SURANGANI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,13500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000006] HIMGRN:B18D148925, SDM SALOONI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,18000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",24/04/2018,"[F0853000007] HIMGRN:B18D154210, SDM SALOONI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,5000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",19/05/2018,"[G0853000001] HIMGRN:B18E100132, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9000
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",19/05/2018,"[G0853000002] HIMGRN:B18E100171, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",19/05/2018,"[G0853000003] HIMGRN:B18E112788, SHO PS KIHAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4500
CHM03-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2018,"[G0853000004] HIMGRN:B18E138381, IC PP SURGHANI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,22500
