DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000001] HIMGRN:B17D171711, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Royalities for 4/2017,T.R.5 No.132267 to132270.",1,3882
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000001] HIMGRN:B17E149642, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Royality Tr No 5 13271 to 132273 for 05/2017",1,17353
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/06/2017,"[H0853000001] HIMGRN:B17F141128, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Roality for 06/2017 TR 5 No 132274 to 132277",1,10024
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/07/2017,"[I0853000001] HIMGRN:B17G122219, SHO KHAIRI RECEIPTS FROM MINERAL CONCESSION,FEE ETC -COMPOUNDING MONEY OF MINING ACT VIDE RECEIPT No. 600",1,400
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",10/08/2017,"[J0853000001] HIMGRN:B17G148663, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of royality T.R.5 No.132278 to132281 for7/2017.",1,14023
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/08/2017,"[J0853000002] HIMGRN:B17H138524, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Roality for 08/2017 TR 5 No 132285 to 132290",1,12582
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/09/2017,"[K0853000001] HIMGRN:B17I137575, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Roality for TR 5 No 132291 dt 4/9/17",1,5530
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/10/2017,"[L0853000001] HIMGRN:B17J129877, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Royality for 10/2017 TR 5 No 132292 to 132295",1,10449
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/11/2017,"[M0853000001] HIMGRN:B17K128321, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Royality TR 5 No 132311 to 132313 for 11/2017",1,5286
CHM05-534-MINING OFFICER CHAMBA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/12/2017,"[N0853000001] HIMGRN:B17L133976, SDSCO BANIKHET RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Deposit of Royality TR 5 No 132314 to 132317 and TR 5 No 3",1,16223
