DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2017,"[H0041000001] HIMGRN:B17F129879, I/C POLIC POST CHOUHRA PENALTY -",1,10100
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2017,"[H0041000002] HIMGRN:B17F133904, I/C POLICE POST CHOUHRA PENALTY -",1,5400
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000001] HIMGRN:B17G131139, I/C POLICE CHOUKI CHOUHRA PENALTY -",1,900
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000001] HIMGRN:B17G144944, I/C POLICE CHOUKI CHOHRA PENALTY -",1,6200
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/10/2017,"[L0041000001] HIMGRN:B17J106512, I/C POLICE CHOUKI CHOUHRA PENALTY -",1,9100
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/11/2017,"[M0041000001] HIMGRN:B17J142039, I/C POLICE CHOUKI CHOUHRA PENALTY -",1,7200
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/12/2017,"[N0041000001] HIMGRN:B17L133374, IC POLICE CHOUKI CHOUHRA PENALTY -",1,6500
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/01/2018,"[C0041000001] HIMGRN:B18A118992, IC POLICE CHOUKI CHOUHRA PENALTY -",1,4600
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,"[D0041000001] HIMGRN:B18B119762, IC POLICE CHOUKI CHOUHRAA PENALTY -",1,4100
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,"[D0041000002] HIMGRN:B18B119779, IC POLICE CHOUKI CHOUHRRA PENALTY -",1,6800
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/03/2018,"[E0041000001] HIMGRN:B18B138362, IC POLICE CHOUKI CHOUHRA PENALTY -",1,4600
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/03/2018,"[E0041000002] HIMGRN:B18C119578, IC POLICE CHOUKI CHOUHRA PENALTY -",1,8200
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/04/2018,"[F0041000001] HIMGRN:B18D151385, POLIC CHOUKI CHOUHRA PENALTY -",1,4900
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2018,"[G0041000001] HIMGRN:B18E124527, I/C POLICE CHOUKI CHOUHRA PENALTY -",1,11300
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2018,"[H0041000001] HIMGRN:B18E148362, IC POLICE CHOUKI CHOUHRA PENALTY -",1,5800
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2018,"[H0041000002] HIMGRN:b18f127479, I/C POLICE CHOUKI CHOUHRA PENALTY -",1,7400
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2018,"[I0041000001] HIMGRN:B18G105943, IC POLICE CHOUKI CHOUHRA PENALTY -",1,6700
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2018,"[I0041000002] HIMGRN:B18G130868, IC POLICE CHOUKI CHOUHRA PENALTY -6 july,2018 to 10 july 2018 RC No 0406628 to 0406641",1,4000
CHM08-510-SUPERINTENDENT OF POLICE      ,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2018,"[J0041000001] HIMGRN:B18H107137, I/C POLICE CHOUKI CHOHRA PENALTY -RC No 0406642 to 0406653 Dated 21/07/2018 to 29/07/2018",1,4600
