DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/05/2017,"[G8782000002] HIMGRN:B17E142743, DEPUTY DIRECTOR YSS PUBLIC WORKS REMITTANCES -C/o Multipurpose sports stadium at Mandri.",1,1000000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,08/06/2017,"[H8782000008] HIMGRN:B17F104454, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -C/o Science Lab at GSSS Basantpur Distt Shimla",1,900000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,08/06/2017,"[H8782000019] HIMGRN:B17F107004, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -C/o JLN college of fine arts and GDC 16 Mile Dhami Distt Shimla",1,12200000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,20/06/2017,"[H8782000057] HIMGRN:B17F120285, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -C/o Sc lab GSSS Ghanahatti,Sc lab GSSSHalog (Dhami),Sc Lab GSSS Dargi,GSSS",1,5200000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,23/06/2017,"[H8782000070] HIMGRN:B17F130356, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -",1,4600000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2017,"[H8782000085] HIMGRN:B17F139691, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -",1,2800000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2017,"[H8782000095] HIMGRN:B17F137128, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -",1,309118
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,07/07/2017,"[I8782000087] HIMGRN:B17G108655, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -c/o Building at GSSS Okhroo Distt Shimla",1,500000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,05/08/2017,"[J8782000010] HIMGRN:B17H101190, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -",1,1200000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,08/08/2017,"[J8782000014] HIMGRN:B17H104811, DIRECTOR PUBLIC WORKS REMITTANCES -adjoining the Gaiety theatre",1,140870
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,22/09/2017,"[K8782000039] HIMGRN:B17I120199, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -c/o building at GDC Dhami at 16 mile",1,20000000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,26/09/2017,"[K8782000047] HIMGRN:B17I129545, DY DIRECTOR YSS PUBLIC WORKS REMITTANCES -Const of Multipurpose Sports Stadium at Kutasani",1,50000000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,26/09/2017,"[K8782000057] HIMGRN:B17I128863, DDO AYURVEDA PUBLIC WORKS REMITTANCES -AHC Sandhoa",1,1145000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,27/09/2017,"[K8782000068] HIMGRN:B17I133384, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -",1,23253000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,04/10/2017,"[L8782000004] HIMGRN:B17I134261, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -C/o Govt. college Pawabo Distt Shimla",1,100000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,24/10/2017,"[L8782000032] HIMGRN:B17J113654, BRIJLAL VINTA PUBLIC WORKS REMITTANCES -C/o himachal sanskrit academy at Maraug Distt Shimla",1,100000
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/12/2017,"[N8782000008] HIMGRN:B17L133645, PRINTING AND STATIONERY DEPARTMENT PUBLIC WORKS REMITTANCES -Deposit for departmental repair work",1,1039337
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/12/2017,"[N8782000009] HIMGRN:B17L133603, PRINTING AND STATIONERY DEPARTMENT PUBLIC WORKS REMITTANCES -Deposit for departmental repair work",1,1596167
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/02/2018,"[D8782000009] HIMGRN:B18B120162, COMMANDANT HOME GUARD PUBLIC WORKS REMITTANCES -CONSTRUCTION ARMOURY BUILDING AT BTC SUNNI",1,938950
"CTO00-617-E.E. PWD DIVISION-II,SHIMLA",8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,22/02/2018,"[D8782000014] HIMGRN:B18B125055, AMAR DEV PUBLIC WORKS REMITTANCES -",1,40941000
