DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,13/10/2017,"[L0070000047] HIMGRN:B17J118383, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -",1,1400
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,30/01/2018,"[C0070000118] HIMGRN:B18A140773, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -",1,120
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,13/08/2018,"[J0070000029] HIMGRN:B18H116671, PRINCIPAL GOVT POLYTECHNIC HAMIRPUR RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,20/04/2017,"[F0202000020] HIMGRN:B17D150434, PRINCIPAL GOVT POLYTECHNIC HAMIRPUR TUTION FEES -",1,3000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,24/04/2017,"[F0202000046] HIMGRN:B17D152754, PRINCIPAL GOVT POLYTECHNIC BILASPUR TUTION FEES -Admission Fee and Hostel Rent",1,600
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,02/05/2017,"[G0202000004] HIMGRN:B17E103245, PRINCIPAL GOVT POLYTECHNIC HAMIRPUR TUTION FEES -RE-ADMISSION FEES",1,1000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,19/08/2017,"[J0202000031] HIMGRN:B17H122783, PRINCIPAL GOVT POLYTECHNIC BILASPUR TUTION FEES -Tution fee and Admission fee",1,222000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,24/08/2017,"[J0202000072] HIMGRN:B17H129852, PRINCIPAL GOVT POLYTECHNIC BILASPUR TUTION FEES -Tution Fee, Re-Admission Fee and Hostel Rent.",1,172600
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,19/09/2017,"[K0202000028] HIMGRN:B17I121575, PRINCIPAL TUTION FEES -TUTION FEES AND ADMISSION FEES (JUNE-JULY 2017)",1,765250
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,22/02/2018,"[D0202000096] HIMGRN:B18B128502, PRINCIPAL TUTION FEES -TUTION FEES AND RE-ADMISSION FEES",1,838100
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,01/03/2018,"[E0202000002] HIMGRN:B18C100134, PRINCIPAL TUTION FEES -RE-ADMISSION FEE",1,3000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,14/03/2018,"[E0202000026] HIMGRN:B18C119644, PRINCIPAL TUTION FEES -ADMISSION FEES FOR THE YEAR 2017-18",1,65000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,31/03/2018,"[E0202000094] HIMGRN:B18C159683, PRINCIPAL TUTION FEES -TUTION FEES AND HOUSE RENT",1,2700
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,11/05/2018,"[G0202000048] HIMGRN:B18E119690, PRINCIPAL GOVT POLYTECHNIC BILASPUR TUTION FEES -Tution Fee and Re-Admission Fee",1,2750
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,08/06/2018,"[H0202000034] HIMGRN:B18F109930, PRINCIPAL TUTION FEES -TUTION FEE AND RE-ADMISSION FEE",1,2750
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,03/08/2018,"[J0202000004] HIMGRN:B18H101091, PRINCIPAL TUTION FEES -",1,129000
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,10/08/2018,"[J0202000028] HIMGRN:B18H114115, PRINCIPAL TUTION FEES -",1,233750
HMR00-202-PR GOVT. POLY. COLLEGE HAMIRPUR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-02-101-01-TUTION FEES,28/08/2018,"[J0202000065] HIMGRN:B18H134938, PRINCIPAL TUTION FEES -Tuition and Admission Fees",1,32000
