DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,09/05/2017,"[G0043000001] HIMGRN:b17e105303, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,900
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,22/05/2017,"[G0043000002] HIMGRN:b17e111265, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/05/2017,"[G0043000005] HIMGRN:b17e142978, KDC GOVT ITI TALWAR AT LAHRU RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,20/06/2017,"[H0043000001] HIMGRN:b17f121798, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,800
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,20/06/2017,"[H0043000002] HIMGRN:b17f121888, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,700
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,10/07/2017,"[I0043000001] HIMGRN:b17f139215, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Fee for energisation of 25 KVA Sub Station Chuhak",1,700
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,10/07/2017,"[I0043000002] HIMGRN:b17f139175, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Fee for energisation of 25 KVA Sub Station Dudhla a/w HT",1,700
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,10/07/2017,"[I0043000003] HIMGRN:b17f139140, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -fee for energisation of 25 KVA CNIL at Chabutra a/w HT an",1,700
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,10/07/2017,"[I0043000004] HIMGRN:b17f139014, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -fee for energisation of 25 KVA sub station Fangu Da Gran",1,500
HMR03-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,10/07/2017,"[I0043000005] HIMGRN:B17G102453, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,800
