DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
HMR04-205-GSSS PAROL,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,28/02/2018,"[D0070000005] HIMGRN:B18B131843, PRINCIPAL GSSS PAROL RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2017,"[G0202000014] HIMGRN:B17E118915, PRINCIPAL GSSS PAROL TUITION AND OTHER FEES -",1,4688
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,19/08/2017,"[J0202000015] HIMGRN:B17H116443, THE PRINCIPAL GSSS PAROL TUITION AND OTHER FEES -",1,2645
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,06/12/2017,"[N0202000004] HIMGRN:B17L104868, LMGSSS PAROL TUITION AND OTHER FEES -",1,2450
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/01/2018,"[C0202000019] HIMGRN:B18A131295, THE PRINCIPAL LMGSSS PAROL TUITION AND OTHER FEES -",1,2495
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2018,"[G0202000027] HIMGRN:B18E130587, LMGSSS PAROL TUITION AND OTHER FEES -",1,4576
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,23/07/2018,"[I0202000007] HIMGRN:B18G112534, HM GHS THATHWANI TUITION AND OTHER FEES -SLC and Admission fee",1,60
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000018] HIMGRN:B18G136079, THE PRINCIPAL LMGSSS PAROL DISTT HMR TUITION AND OTHER FEES -",1,2130
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,31/05/2017,"[G0202000040] HIMGRN:B17E147396, PRINCIPAL GSSS PAROL RECOVERIES OF OVER PAYMENT -",1,360
HMR04-205-GSSS PAROL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-04-102-01-PUBLIC LIBRARY,29/09/2017,"[K0202000010] HIMGRN:B17I124786, GSSS PAROL PUBLIC LIBRARY -",1,386
