DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,05/07/2017,"[I0202000008] HIMGRN:B17G105921, VED VYAS DM GMS SARSARI MISCELLANEOUS RECEIPTS -",1,560
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/05/2017,"[G0202000011] HIMGRN:B17E110323, PRINCIPAL GSSS CHHAMAHAN TUITION AND OTHER FEES -",1,2530
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/07/2017,"[I0202000007] HIMGRN:B17G100473, PRINCIPAL TUITION AND OTHER FEES -",1,1020
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/09/2017,"[K0202000036] HIMGRN:B17I123312, PRINCIPAL GSSS CHHAMAHAN TUITION AND OTHER FEES -SLC,LFF,Tution Fee and other",1,2170
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,11/12/2017,"[N0202000018] HIMGRN:B17L110801, PRINCIPAL GSSS CHHAMAHAN TUITION AND OTHER FEES -",1,3970
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/04/2018,"[F0202000045] HIMGRN:B18D165049, PRINCIPAL GSSS CHHAMAHAN TUITION AND OTHER FEES -Tution fee,SLC and others",1,2140
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/07/2018,"[I0202000003] HIMGRN:B18G101956, PRINCIPALGSSS CHHAMAHAN TUITION AND OTHER FEES -Tuition fee,SLC and other",1,390
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/08/2018,"[J0202000006] HIMGRN:B18H103119, PRINCIPAL GSSS CHHAMAHAN TUITION AND OTHER FEES -TUTION FEE AND SLC",1,995
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,05/07/2017,"[I0202000009] HIMGRN:B17G105892, ROSHAN LAL LT GSSS CHHAMAHAN MISCELLANEOUS RECEIPTS -",1,542
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,27/07/2017,"[I0202000098] HIMGRN:B17G143272, LEKH RAJ PGT IP MISCELLANEOUS RECEIPTS -Missing School Library books",1,1754
KLU00-241-GSSS CHHAMAHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,22/09/2017,"[K0202000035] HIMGRN:B17I127820, PRINCIPAL GSSS CHHAMAHAN RECOVERIES OF OVER PAYMENT -Over payment of Smt. Nirmala Devi DM",1,3703
