DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,28/09/2017,"[K0401000001] HIMGRN:B17I118929, I/C PCDO SAGOT TEH NIRMAND DISTT KULLU RECEIPTS FROM BOTANICAL GARDENS -AUCTION GREEN GRASS(FEEDER) APPLE CROPS",1,93450
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,28/09/2017,"[K0401000002] HIMGRN:B17I118959, I/C PCDO SAGOT TEH NIRMAND RECEIPTS FROM BOTANICAL GARDENS -11nd instalment ofApple fruit crop apple auction",1,10500
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-04-HORTICULTURE-RECEIPT FROM RECOVERY OF OP,13/04/2018,"[F0401000002] HIMGRN:B18D125607, VINAY AGRO CHEMICAL HORTICULTURE-RECEIPT FROM RECOVERY OF OP -",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-04-HORTICULTURE-RECEIPT FROM RECOVERY OF OP,14/05/2018,"[G0401000001] HIMGRN:B18E113391, JC AGROCHEMICAL THARLA HORTICULTURE-RECEIPT FROM RECOVERY OF OP -Late Fee AgroChemical Lic",1,80
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,21/06/2017,"[H0401000002] HIMGRN:B17F106603, KAMLA NAND MISCELLANEOUS RECEIPTS -",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,30/12/2017,"[N0401000002] HIMGRN:B17L138023, ASHOK MISCELLANEOUS RECEIPTS -License Renewal Ashok Agro. Chemical Nirmand Distt Kullu",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,30/12/2017,"[N0401000003] HIMGRN:B17L137986, JAGDISH CHAND MISCELLANEOUS RECEIPTS -License Renewal J.C. Agro. chemicals Tharla Tehsil Nirmand Distt Kullu",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,17/03/2018,"[E0401000001] HIMGRN:B18C106903, SAVEENA AGRO CHEMICAL MISCELLANEOUS RECEIPTS -",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,31/03/2018,"[E0401000003] HIMGRN:B18C151036, KATOCH ENTERPRISES MISCELLANEOUS RECEIPTS -",1,300
KLU03-009-DEPUTY DIRECTOR HORTICULTURE KULLU,0401-CROP HUSBANDRY,0401-00-800-05-MISCELLANEOUS RECEIPTS,27/04/2018,"[F0401000003] HIMGRN:B18D152704, M/S KATOCH ENTERPRISES PROP VEENA KATOCH MISCELLANEOUS RECEIPTS -Late fee of ppm licence",1,80
