DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,18/04/2017,"[F0070000076] HIMGRN:B17D134013, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -RTI FEES",1,20
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,15/06/2017,"[H0070000098] HIMGRN:B17F121700, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,100
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,05/07/2017,"[I0070000015] HIMGRN:B17G103221, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,110
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,23/08/2017,"[J0070000166] HIMGRN:B17H128381, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,30
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,06/09/2017,"[K0070000022] HIMGRN:B17I106346, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,29/09/2017,"[K0070000274] HIMGRN:B17I136140, REGIONAL EMPLOYMENT EXCHANGE RECEIPT FROM RIGHT TO INFORMATION ACT -Rs. 20/- Deposited by Shri Jaram Singh RTI Matter",1,20
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,13/11/2017,"[M0070000071] HIMGRN:B17K109421, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,30
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,08/01/2018,"[C0070000050] HIMGRN:B18A113051, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -RTI Fees Rs. 10",1,10
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,29/01/2018,"[C0070000214] HIMGRN:B18A139723, REGIONAL EMPLOYMENT EXCHANGE RECEIPT FROM RIGHT TO INFORMATION ACT -RTI",1,120
KNG00-517-DISTT EMPLOYMENT OFFICER DHARAMSALA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,19/02/2018,"[D0070000117] HIMGRN:B18B120594, REGIONAL EMPLOYMENT OFFICER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
