DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,25/04/2018,"[F0070000011] HIMGRN:B18D143259, SHO KANGRA MISCELLANEOUS RECEIPTS -",1,55000
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,11/06/2018,"[H0070000003] HIMGRN:B18E151384, SHO KULDEEP RAJ MISCELLANEOUS RECEIPTS -",1,4700
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,31/07/2018,"[I0070000029] HIMGRN:B18G150465, INSP KULDEEP RAJ MISCELLANEOUS RECEIPTS -",1,4700
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,20/08/2018,"[J0070000001] HIMGRN:B18G152183, ASI HAKAM SINGH MISCELLANEOUS RECEIPTS -",1,4700
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,24/08/2018,"[J0070000005] HIMGRN:B18H110895, INSP KULDEEP RAJ MISCELLANEOUS RECEIPTS -",1,4700
KNG01-534-MINING OFFICER KANGRA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-05-MISCELLANEOUS RECEIPTS,31/08/2018,"[J0070000019] HIMGRN:B18H130086, ASI HAKAM SINGH MISCELLANEOUS RECEIPTS -",1,14100
KNG01-534-MINING OFFICER KANGRA,0075-MISCELLANEOUS GENERAL SERVICES,0075-00-800-02-SALE OF OLD STORES & MATERIAL,31/07/2018,"[I0075000002] HIMGRN:B18G135935, SHO/INSP KULDEEP RAJ SALE OF OLD STORES AND MATERIAL -",1,1000
KNG01-534-MINING OFFICER KANGRA,0235-SOCIAL SECURITY & WELFARE,0235-60-800-01-MISC.RECEIPT ON A/C OF UNSPENT BALANCE,25/07/2018,"[I0235000001] HIMGRN:B18G123388, ASI HAKAM SINGH MISC.RECEIPT ON A/C OF UNSPENT BALANCE -",1,4700
KNG01-534-MINING OFFICER KANGRA,0851-VILLAGE & SMALL INDUSTRIES,0851-00-101-01-RENT OF SHEDS ETC.,25/04/2018,"[F0851000001] HIMGRN:B18D154188, SI/SHO NARESH KUMAR RENT OF SHEDS ETC. -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000001] HIMGRN:B17D113127, ASI RAM SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000002] HIMGRN:B17D122680, ASI RAM SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9400
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000003] HIMGRN:B17D135067, ASI JAGAT RAM RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Min. Act.",1,14100
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000004] HIMGRN:B17D158152, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act.",1,9400
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000005] HIMGRN:B17D167168, SHO PS KANGRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",29/04/2017,"[F0853000006] HIMGRN:B17D174905, SHO PS KANGRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000001] HIMGRN:B17E101449, SI KULDEEP KUMAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000002] HIMGRN:B17D177307, ASI ASHOK RANA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act.",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000003] HIMGRN:B17E115792, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act",1,9400
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000004] HIMGRN:B17E122988, SHO PS KANGRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000005] HIMGRN:B17E137968, HC KAWAL KUMAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000006] HIMGRN:B17E139148, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Min.Act.",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000007] HIMGRN:B17E149814, SHO PS KANGRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/05/2017,"[G0853000008] HIMGRN:B17E148752, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Min. Act.",1,14100
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",20/06/2017,"[H0853000001] HIMGRN:B17E152083, SHO BAHADUR SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,10000
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",20/06/2017,"[H0853000002] HIMGRN:B17F105514, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/06/2017,"[H0853000003] HIMGRN:B17F112350, SI KULDEEP SINGH RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,9400
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/06/2017,"[H0853000004] HIMGRN:B17F113917, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",30/06/2017,"[H0853000005] HIMGRN:B17F138751, SI NARESH SHARMA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",27/07/2017,"[I0853000001] HIMGRN:B17G109503, SHO PS KANGRA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",27/07/2017,"[I0853000003] HIMGRN:B17G119525, SI NARESH KUMAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,14100
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",27/07/2017,"[I0853000004] HIMGRN:B17G134921, SHO NARESH KUMAR RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,19100
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/07/2017,"[I0853000006] HIMGRN:B17G143326, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Mining Act.",1,14700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",08/08/2017,"[J0853000001] HIMGRN:B17G151491, SI NARESH SHARMA RECEIPTS FROM MINERAL CONCESSION,FEE ETC -",1,7200
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",31/08/2017,"[J0853000003] HIMGRN:B17H130915, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Min Act",1,4700
KNG01-534-MINING OFFICER KANGRA,0853-NON-FERROUS MINING & METALLURGICAL INDUSTRIES,"0853-00-102-01-RECEIPTS FROM MINERAL CONCESSION,FEE ETC",28/09/2017,"[K0853000001] HIMGRN:B17I111994, SI/SHO NIRMAL DASS RECEIPTS FROM MINERAL CONCESSION,FEE ETC -Min. Act.",1,14100
