DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000023] HIMGRN:B17F129055, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,7475
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000039] HIMGRN:B17F133656, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,16600
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000040] HIMGRN:B17F138667, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,55358
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000048] HIMGRN:B17F141850, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,37125
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000007] HIMGRN:B17G102737, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,25250
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000008] HIMGRN:B17F145365, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,39425
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000016] HIMGRN:B17G112163, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,7700
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,29/07/2017,"[I0202000022] HIMGRN:B17G120561, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,11975
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,29/07/2017,"[I0202000035] HIMGRN:B17G136264, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,17900
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000037] HIMGRN:B17G141354, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,325
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000039] HIMGRN:B17G146151, PRINCIPAL SHARMA TUTION AND OTHER FEES -",1,25
