DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000005] HIMGRN:B17E108671, PRINCIPAL TUITION AND OTHER FEES -",1,6142
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000017] HIMGRN:b17e149431, PRINCIPAL TUITION AND OTHER FEES -",1,1185
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000014] HIMGRN:B17H130093, PRINCIPAL TUITION AND OTHER FEES -",1,3375
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/09/2017,"[K0202000005] HIMGRN:B17I108636, PRINCIPAL TUITION AND OTHER FEES -",1,1765
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/10/2017,"[L0202000002] HIMGRN:B17J123516, PRINCIPAL TUITION AND OTHER FEES -",1,4365
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/11/2017,"[M0202000004] HIMGRN:B17K114127, PRINCIPAL TUITION AND OTHER FEES -Tuition fee of Plus one and Plus two Classes",1,765
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/01/2018,"[C0202000003] HIMGRN:B18A118062, PRINCIPAL TUITION AND OTHER FEES -",1,3555
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,28/02/2018,"[D0202000007] HIMGRN:B18B128052, PRINCIPAL TUITION AND OTHER FEES -",1,1485
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2018,"[F0202000008] HIMGRN:B18D152373, PRINCIPAL TUITION AND OTHER FEES -",1,2225
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/05/2018,"[G0202000007] HIMGRN:B18E124049, PRINCIPAL GSSS DAHKULARA TUITION AND OTHER FEES -Tution fee",1,4895
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2018,"[G0202000014] HIMGRN:B18E148007, PRINCIPAL TUITION AND OTHER FEES -",1,215
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/06/2018,"[H0202000006] HIMGRN:B18F118313, PRINCIPAL TUITION AND OTHER FEES -",1,65
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000015] HIMGRN:B18F127949, PRINCIPAL TUITION AND OTHER FEES -",1,20
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/08/2018,"[J0202000005] HIMGRN:B18H113482, PRINCIPAL TUITION AND OTHER FEES -",1,1080
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2018,"[J0202000010] HIMGRN:B18H132229, PRINCIPAL TUITION AND OTHER FEES -",1,1350
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,10/07/2017,"[I0202000001] HIMGRN:B17G101317, PRINCIPAL RECOVERIES OF OVER PAYMENT -Recovery of over payment recovered from Smt.Shail Bibi Asstt.Lib. Rs. 23",1,23639
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,21/06/2018,"[H0202000008] HIMGRN:B18F122068, PRINCIPAL RECOVERIES OF OVER PAYMENT -",1,1093
KNG03-207-PR GSSS DAHKULAHRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,21/06/2018,"[H0202000009] HIMGRN:B18F122122, PRINCIPAL RECOVERIES OF OVER PAYMENT -",1,20843
