DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000002] HIMGRN:B17D101827, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in M.V.Act Cases on 01-04-2017",1,7800
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000006] HIMGRN:B17D131992, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -fine imposed in M.V. Act cases on 11-04-2017",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000011] HIMGRN:B17D146065, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in MV Act and 446 Cr.P.C. on 18-04-2017",1,3700
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000015] HIMGRN:B17D159386, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -fine imposed in M.V.Act cases on 22-04-2017",1,39000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000017] HIMGRN:B17D158423, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case No.266-III/13 titled as Surinder Kumar versus Sanjay Ku",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000018] HIMGRN:B17D158442, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case titled as State versus Sanjay Kumar No. 17-II/10 under",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000019] HIMGRN:B17D158355, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case No.50-III/11 under section 446Cr.P.C. titled as PNB ver",1,5000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000021] HIMGRN:B17D169211, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine under Section 446 Cr PC in case titled as State Vs Ashutosh",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000023] HIMGRN:B17D172614, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine under Section 446 Cr PC in case titled as PNB Vs Santosh",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000001] HIMGRN:B17D177181, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine realized on 29_04_2017",1,31200
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000008] HIMGRN:B17E107179, READERTO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case titled as State versus Rubal on 03-05-2017",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000011] HIMGRN:B17E113790, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in M.V.Act Cases on 06-05-2017",1,33000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000016] HIMGRN:B17E117838, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case under section 446 Cr.P.C. on 09-05-2017",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000017] HIMGRN:B17E120156, ADDINATIONAL CHIEF JUDICIAL MAGISTRATE FINES AND FOREFEITURES -Fine in u/s 446 crpc",1,500
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000018] HIMGRN:B17E126618, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -fine imposed in case titled as state versus Tilak",1,5000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000023] HIMGRN:B17E134712, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in M.V.Act cases on 20-05-2017",1,39800
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,"[G0070000028] HIMGRN:B17E141486, READER TOACJM PALAMPUR FINES AND FOREFEITURES -fine impised in MV act cases on 24-05-2017",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/06/2017,"[H0070000021] HIMGRN:B17F120761, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in 446 Cr.P.C. on 14-06-2017",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000024] HIMGRN:B17F122910, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -fine imposed in 446 Cr.PC. on 15-06-2017",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000025] HIMGRN:B17F124897, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in 446 Cr.P.C. on 16-06-2017",1,2000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000026] HIMGRN:B17F126676, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -fine imposed in mv act cases on 17-06-2017",1,58200
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000030] HIMGRN:B17F130707, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in case titled as Shop Inspector versus K.T.Metros",1,1500
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000032] HIMGRN:B17F134204, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine amount imposed in case under section 446 Cr.P.C. titled as State versus",1,1000
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000037] HIMGRN:B17F137610, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in M.V.Act Cases on 24-06-2017",1,31600
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,"[H0070000038] HIMGRN:B17F136554, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in labour act cases on 23-06-2017",1,2200
KNG05-025-CIVIL JUDGE (JR DIVISION- I) PALAMPUR,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/07/2017,"[I0070000003] HIMGRN:B17G102504, READER TO ACJM PALAMPUR FINES AND FOREFEITURES -Fine imposed in M.v.Act Cases on 01-07-2017",1,600
