DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-107-01-INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOSE),08/11/2017,"[M0049000001] HIMGRN:B17K100273, SDSCO FATEHPUR INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOS",1,270618
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-107-01-INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOSE),10/01/2018,"[C0049000001] HIMGRN:B18A104363, SDSCO FATEHPUR INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOS",1,269141
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-107-01-INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOSE),11/04/2018,"[F0049000001] HIMGRN:B18D111629, SDSCO FATEHPUR INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOS",1,211297
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-107-01-INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOSE),16/07/2018,"[I0049000001] HIMGRN:B18G102263, SDSCO FATEHPUR INTEREST ON LOANS TO CULTIVATORS OF LAND GENERAL IMPROVEMENT OF LAND (OTHER THAN HORTICULTURE PURPOS",1,183583
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,31/05/2017,"[G0049000001] HIMGRN:B17D172376, SDSCO FATEHPUR MISCELLANEOUS -SDSCO Fatehpur",1,186880
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,10/07/2017,"[I0049000001] HIMGRN:B17G100429, SDSCO FATEHPUR MISCELLANEOUS -",1,298640
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0075-MISCELLANEOUS GENERAL SERVICES,0075-00-800-02-SALE OF OLD STORES & MATERIAL,08/09/2017,"[K0075000001] HIMGRN:B17H140983, SDSCO FATEHPUR SALE OF OLD STORES AND MATERIAL -",1,10880
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-02-RECEIPTS FROM AUCTION,31/05/2017,"[G0575000001] HIMGRN:B17D172327, SDSCO FATEHPUR RECEIPTS FROM AUCTION -SDSCO Fatehpur",1,3396
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-02-RECEIPTS FROM AUCTION,10/07/2017,"[I0575000001] HIMGRN:B17G100403, SDSCO FATEHPUR RECEIPTS FROM AUCTION -",1,4865
"KNG06-007-SOIL CONS. OFFICER, FATEHPUR",0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-02-RECEIPTS FROM AUCTION,08/08/2017,"[J0575000001] HIMGRN:B17G150649, SDSCO FATEHPUR RECEIPTS FROM AUCTION -",1,4930
