DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000005] HIMGRN:B17F129040, GDC RAKKAR TUTION AND OTHER FEES -",1,150
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000007] HIMGRN:B17F131673, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,125
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000008] HIMGRN:B17F133519, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,1225
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000011] HIMGRN:B17F135287, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,4475
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000012] HIMGRN:B17F139045, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,1275
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000013] HIMGRN:B17F140074, PRINCIPAL GDC RAKKIAR TUTION AND OTHER FEES -",1,1025
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000017] HIMGRN:B17F145726, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,800
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/07/2017,"[I0202000001] HIMGRN:B17G101088, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,800
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/07/2017,"[I0202000002] HIMGRN:B17G103183, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,25
KNG08-212-PRINCIPAL GOVT DEGREE COLLEGE RAKKAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000004] HIMGRN:B17G107438, PRINCIPAL GDC RAKKAR TUTION AND OTHER FEES -",1,75
