DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG11-202-GSSS GHAMROOR,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,08/12/2017,"[N0070000001] HIMGRN:B17L102391, PRINCIPAL GHAMROOR RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000002] HIMGRN:B17D127528, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -9th admission fee-125,11th 12th admission fee and tuition fee 1445",1,1570
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000008] HIMGRN:B17D148765, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -9th admission fee 15, 11th 12th fee 2125",1,2140
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000002] HIMGRN:B17E100261, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -11th 12th admission,tuition and late fee",1,235
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/06/2017,"[H0202000001] HIMGRN:B17F100103, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -SLC Certificate 12th class",1,10
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000008] HIMGRN:B17F137088, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -",1,2340
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/10/2017,"[L0202000002] HIMGRN:B17J112030, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -Tuition fee 11th 12th-Rs.2295,SLC Rs.10",1,2305
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/01/2018,"[C0202000002] HIMGRN:B18A104241, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -11th AND 12th class",1,2295
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000003] HIMGRN:B18D131805, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -",1,2085
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000006] HIMGRN:B18D152676, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -",1,1270
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,11/05/2018,"[G0202000001] HIMGRN:B18E100238, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -",1,65
KNG11-202-GSSS GHAMROOR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/06/2018,"[H0202000006] HIMGRN:B18F127176, PRINCIPAL GHAMROOR TUITION AND OTHER FEES -",1,2075
KNG11-202-GSSS GHAMROOR,0235-SOCIAL SECURITY & WELFARE,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,08/12/2017,"[N0235000001] HIMGRN:B17L102385, PRINCIPAL GHAMROOR INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -",1,80
