DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,31/07/2017,"[I0070000003] HIMGRN:B17G141593, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI fee",1,10
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000009] HIMGRN:B17F142694, PRINCIPAL TUTION AND OTHER FEES -Admission and tuition fee",1,14400
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/07/2017,"[I0202000001] HIMGRN:B17G102731, PRINCIPAL TUTION AND OTHER FEES -Tuition and admission fee",1,1975
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000003] HIMGRN:B17G130961, PRINCIPAL TUTION AND OTHER FEES -admission and tuition fee",1,3155
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000004] HIMGRN:B17G141607, PRINCIPAL TUTION AND OTHER FEES -admission and tuition fee",1,1375
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,08/08/2017,[J0202000001] PR SSSS DADA FEE,1,855
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2017,"[J0202000003] HIMGRN:B17H123862, PRINCIPAL TUTION AND OTHER FEES -re-admission",1,100
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/10/2017,"[L0202000001] HIMGRN:B17J107217, PRINCIPAL TUTION AND OTHER FEES -Re- admission fee",1,125
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000005] HIMGRN:B17K128482, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition fee",1,16605
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,08/12/2017,"[N0202000001] HIMGRN:B17L103683, PRINCIPAL TUTION AND OTHER FEES -admission and tuition fee",1,1305
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/12/2017,"[N0202000002] HIMGRN:B17L121243, PRINCIPAL TUTION AND OTHER FEES -Admission and Late fee",1,215
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/03/2018,"[E0202000002] HIMGRN:B18C159094, PRINCIPAL TUTION AND OTHER FEES -Admission and tuition fee",1,1195
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,25/04/2018,"[F0202000002] HIMGRN:B18D128538, PRINCIPAL TUTION AND OTHER FEES -Re-admission",1,100
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000012] HIMGRN:B18F141901, PRINCIPAL TUTION AND OTHER FEES -Admission and Tution fee",1,11675
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,25/07/2018,"[I0202000002] HIMGRN:B18G114421, PRINCIPAL TUTION AND OTHER FEES -",1,3720
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000004] HIMGRN:B18G149778, PRINCIPAL TUTION AND OTHER FEES -",1,2150
KNG11-216-PRINCIPAL GOVT DEGREE COLLEGE DADASIBA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000002] HIMGRN:B18H136619, PRINCIPAL TUTION AND OTHER FEES -",1,835
