DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000001] HIMGRN:B17D102307, STATION HOUSE OFFICER PENALTY -HC MALKIAT SINGH NO 77",1,800
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000002] HIMGRN:B17D102303, STATION HOUSE OFFICER PENALTY -ASI MANJEET SINGH",1,1100
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000003] HIMGRN:B17D102311, STATION HOUSE OFFICER PENALTY -ASI MANJEET SINGH",1,1300
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000004] HIMGRN:B17D102298, STATION HOUSE OFFICER PENALTY -HC ANIL KUMAR NO 100",1,3200
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000005] HIMGRN:B17D101850, ASI LIYAKAT ALI PENALTY -",1,1800
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000012] HIMGRN:B17D113787, STATION HOUSE OFFICE PENALTY -SI BIRI SINGH",1,3000
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000013] HIMGRN:B17D112759, STATION HOUSE OFFICE JAWALI PENALTY -HC. MALKIAT SINGH NO. 77",1,2600
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000014] HIMGRN:B17D112776, STATION HOUSE OFFICE PENALTY -HC PARDEEP SINGH NO. 176",1,400
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000015] HIMGRN:B17D112723, POLICE STATION JAWALI PENALTY -HC ASHWANI KUMAR NO.63",1,2300
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000016] HIMGRN:B17D119679, SDPO JAWALI PENALTY -",1,2000
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000020] HIMGRN:B17D121832, STATION HOUSE OFFICE PENALTY -SI CHAI SINGH",1,2300
KNG12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000021] HIMGRN:B17D122715, STATION HOUSE OFFICE PENALTY -SI BIRI SINGH",1,1600
