DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,04/05/2017,"[G0401000003] HIMGRN:B17E108381, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -whole, retail sale of himcu fruit products",1,20596
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,04/05/2017,"[G0401000004] HIMGRN:B17E108360, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -ccs making charges of fruit products",1,9515
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,17/05/2017,"[G0401000011] HIMGRN:B17E127590, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -ccs making charges of fruit products",1,4310
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,17/05/2017,"[G0401000012] HIMGRN:B17E127605, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -whole , retail sale of Himcu fruit products",1,23763
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,25/05/2017,"[G0401000016] HIMGRN:B17E142129, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of himcu fruit products",1,4845
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,04/07/2017,"[I0401000001] HIMGRN:B17G104472, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of fruit products",1,6810
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,12/07/2017,"[I0401000006] HIMGRN:B17G118481, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of Himcu fruit products",1,2815
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,19/07/2017,"[I0401000010] HIMGRN:B17G130687, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of himcu fruit products",1,1632
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,16/08/2017,"[J0401000007] HIMGRN:B17H117972, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of HIMCU fruit product",1,2612
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,16/08/2017,"[J0401000008] HIMGRN:B17H118276, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -CCS making charges of fruit products",1,1125
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,16/08/2017,"[J0401000009] HIMGRN:B17H118255, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of Himcu fruit products",1,19598
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,21/08/2017,"[J0401000013] HIMGRN:B17H124544, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of Himcu fruit products",1,3130
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,23/08/2017,"[J0401000014] HIMGRN:B17H126463, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -retail sale of Himcu fruit products",1,5971
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,18/09/2017,"[K0401000002] HIMGRN:B17I120438, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Retail sale of Himcu fruit products",1,19157
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,22/09/2017,"[K0401000011] HIMGRN:B17I127151, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -CCS Making Charges",1,21392
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,25/09/2017,"[K0401000012] HIMGRN:B17I130522, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -CCS making charges",1,8310
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,17/10/2017,"[L0401000003] HIMGRN:B17J122452, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Making Charges of CCS fruit Products",1,66869
KNR00-002-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) KINNAUR,0401-CROP HUSBANDRY,0401-00-119-01-RECEIPTS FROM FRUIT CANNING UNITS,02/11/2017,"[M0401000001] HIMGRN:B17K101939, SUBJECT MATTER SPECIALIST RECEIPTS FROM FRUIT CANNING UNITS -Sale of CCS fruit products",1,16725
