DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNR00-200-BEEO KALPA AT RECKONG PEO,0075-MISCELLANEOUS GENERAL SERVICES,0075-00-800-02-SALE OF OLD STORES & MATERIAL,26/03/2018,"[E0075000003] HIMGRN:B18C147934, HT GPS-B/SARING SALE OF OLD STORES AND MATERIAL -Auction amount of building dismantling",1,55000
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,07/06/2017,"[H0202000001] HIMGRN:B17F108526, BEEO KALPA AT R-PEO SECONDARY EDUCATION -Amount received from auction of unserviceable / irreparable articles",1,980
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,25/08/2017,"[J0202000026] HIMGRN:B17H131856, BEEO KALPA AT RECKONG PEO MISCELLANEOUS RECEIPTS -",1,300
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,04/09/2017,"[K0202000001] HIMGRN:B17I101078, G C P S BATSERY MISCELLANEOUS RECEIPTS -",1,150
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,19/03/2018,"[E0202000004] HIMGRN:B18C130671, NEW WINGS SEHOOL BARANG RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,20/03/2018,"[E0202000007] HIMGRN:B18C133724, SHIVALIK PUBLIC SCHOOL KATGAON RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-05-RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUION MAMANGEMENT,31/03/2018,"[E0202000022] HIMGRN:B18C162527, CHAIRMAN THE PIRI EDUCATIONAL SOCIETY RECEIPT ON ACCOUNT OF INSPECTION FEE FROM PRIVATE INSTITUTION MANAGEMENT -",1,500
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,19/03/2018,"[E0202000005] HIMGRN:B18C130737, BEEO RECOVERIES OF OVER PAYMENT -Recovery of Increment arrear Vidiya Upasak",1,175390
KNR00-200-BEEO KALPA AT RECKONG PEO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,07/04/2018,"[F0202000005] HIMGRN:B18D121668, BEEO KALPA RECOVERIES OF OVER PAYMENT -Recovery of over payment PAT",1,6450
KNR00-200-BEEO KALPA AT RECKONG PEO,0235-SOCIAL SECURITY & WELFARE,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,04/12/2017,"[N0235000002] HIMGRN:B17L103286, BEEO-KALPA AT R-PEO INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -Accidental Insurance scheme amt. in respect o",1,1840
