DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNR02-202-GSSS SAPNI,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,21/07/2017,"[I0070000001] HIMGRN:B17G115587, PRINCIPAL GSSS SAPNI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
KNR02-202-GSSS SAPNI,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,21/07/2017,"[I0070000002] HIMGRN:B17G129069, PRINCIPAL SAPNI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
KNR02-202-GSSS SAPNI,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,24/08/2017,"[J0070000001] HIMGRN:B17H122604, PRINCIPAL GSSS SAPNI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000009] HIMGRN:B17E126278, PRINCIPAL GSSS SAPNI TUITION AND OTHER FEES -",1,1070
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/07/2017,"[I0202000005] HIMGRN:B17G129012, PRINCIPAL GSSS SAPNI TUITION AND OTHER FEES -Tution Fee = 450 , SLC Fee = 35 ,",1,485
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/08/2017,"[J0202000003] HIMGRN:B17H122620, PRINCIPAL GSSS SAPNI TUITION AND OTHER FEES -",1,5
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000004] HIMGRN:B17I120063, PRINCIPAL GSSS SAPNI TUITION AND OTHER FEES -Admission Fee = Rs. 5",1,5
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000005] HIMGRN:B17I129337, PRINCIPAL GSSS SAPNI TUITION AND OTHER FEES -SLC Fee = Rs. 5",1,5
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/11/2017,"[M0202000002] HIMGRN:B17K109647, GSSS SAPNI TUITION AND OTHER FEES -re addmition fee",1,1
KNR02-202-GSSS SAPNI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000004] HIMGRN:B17L125647, GSSS SAPNI TUITION AND OTHER FEES -Tuition Fees and other fees",1,450
