DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNR03-650-XEN B&R DIVISION KALPA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,31/03/2018,[E0070000003] AE PWD MOORANG RTI SH SANDEEP KUMAR REC,1,370
KNR03-650-XEN B&R DIVISION KALPA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,31/08/2018,[J0070000001] SH DHANBHADUR SO BHIMA BHADUR AND CHANPI DEVI REC,1,140
KNR03-650-XEN B&R DIVISION KALPA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-800-11-RECEIPT FROM RIGHT TO INFORMATION ACT.,30/06/2017,[H0070000002] AE PWD MOORANG RECEIPTS,1,20
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/04/2017,[F8782000001] AE MOORANG SUB DIVI PWD MOORANG RECEIPTS,1,2490
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/05/2017,[G8782000002] A E HP PWD MOORANG RECEIPTS,1,2400
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/07/2017,[I8782000002] A E MOORANG SUB DIVISION HPWD RECEIPTS,1,4000
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/08/2017,[J8782000002] AE MOORANG SUB DIVI PWD MOORANG RECEIPTS,1,7280
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/09/2017,[K8782000002] AE MOORANG SUB DIVISION PWD MOORANG RECEIPTS,1,6320
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/10/2017,[L8782000002] AE PWD MOORANG REC,1,19250
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/11/2017,[M8782000002] AE PWD MOORANG REC,1,2000
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,06/03/2018,[E8782000001] AE PWD MOORANG REC,1,4000
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/03/2018,[E8782000003] AE PWD MOORANG REC,1,34690
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/05/2018,[G8782000002] AE HPPWD SUB DIVN. MISC RECEIPT,1,5030
KNR03-650-XEN B&R DIVISION KALPA,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,27/07/2018,[I8782000001] A E PWD MOORANG REC,1,2100
