DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/06/2017,[H0070000004] CHIEF JUDICIAL MAGISTRATE LAHAUL SPTITI FINE,1,200
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/06/2017,[H0070000005] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI EXCISE ACT,1,15000
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/06/2017,[H0070000006] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI EXCISE ACT,1,37700
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,05/07/2017,[I0070000007] CHIEF JUDICIAL MAGISTRATE FINE AMOUNT UNDER MV ACT,1,21300
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/07/2017,[I0070000009] CHIEF JUDICIAL MAGISTRATE FINE AMOUNT IN MV ACT,1,26100
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,09/08/2017,[J0070000003] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI ON MV ACT,1,5600
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/08/2017,[J0070000004] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI MV ACT,1,54300
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,11/08/2017,[J0070000005] CJM LAHAUL SPITI AT KEYLONG MV ACT,1,12000
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/09/2017,[K0070000001] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI FINE,1,13800
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/09/2017,[K0070000003] CHIEF JUDICIAL MAGISTRATE LAHAUL-SPITI FINE,1,17800
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/10/2017,[L0070000004] CHIEF JUDICIAL MAGISTRATE LAHAUL SPITI MV ACT,1,13200
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,11/10/2017,[L0070000005] CJM CAMP AT KEYLONG ON A/C OF MAGISTRIAL FINE,1,32600
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,12/10/2017,[L0070000008] CJM KEYLONG ON A/C OF MAGSITRIAL FINE,1,15000
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,05/06/2018,[H0070000003] CHIEF JUDICIAL MAGISTRATE DISTT LAHAUL & SPITI HP FINE AMOUNT,1,27000
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/06/2018,[H0070000004] CHIEF JUDICIAL MAGISTRATE LAHAUL & SPITI HP FINE AMOUNT,1,25100
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/06/2018,[H0070000005] CHIEF JUDICIAL MAG KEYLONG FINE,1,25400
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/06/2018,[H0070000006] CHIEF JUDICIAL MAG KEYLONG FINE,1,18600
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/07/2018,[I0070000003] KANTA VERMA CJM KEYLONG FINE,1,47600
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,11/07/2018,[I0070000006] KANTA VERMA CJM KEYLONG FINE,1,47000
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,12/07/2018,[I0070000007] KANTA VERMA CJM KEYLONG FINE,1,51100
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,13/07/2018,[I0070000008] CHIFE JUDICIAL MAG KEYLONG FINE,1,28800
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/08/2018,[J0070000002] KANTA VERMA C J M L&S AT KEYLONG FINE,1,43800
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/08/2018,[J0070000005] SMT KANTA VERMA C J M KEYLONG FINE,1,15400
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,09/08/2018,[J0070000006] SMT KANTA VERMA C J M KEYLONG FINE,1,56200
LHL00-005-NA,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/08/2018,[J0070000007] SMT KANTA VERMA CJM KEYLONG FINE,1,14100
