DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0049-INTEREST RECEIPTS,0049-04-195-01-INTEREST ON LOANS FROM CO-OP SOCIETIES,23/11/2017,"[M0049000019] HIMGRN:B17K119439, THE SUKET COOP WEAVER SOCIETY INTEREST ON LOANS FROM CO-OP SOCIETIES -Pennal Intt.",1,267000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0049-INTEREST RECEIPTS,0049-04-195-01-INTEREST ON LOANS FROM CO-OP SOCIETIES,07/12/2017,"[N0049000001] HIMGRN:B17L109025, THE SUKET WEAVER INTEREST ON LOANS FROM CO-OP SOCIETIES -",1,31320
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,18/05/2017,"[G0050000001] HIMGRN:B17E129751, INSPECTOR SUNDERNAGAR CO-OPERATIVE SOCITIES -",1,1155
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,23/05/2017,"[G0050000002] HIMGRN:B17E136933, INSPECTOR COOP SOCS CHAUNTRA CO-OPERATIVE SOCITIES -",1,2050
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,23/05/2017,"[G0050000003] HIMGRN:B17E134382, INSPECTOR COOP SOCS CO-OPERATIVE SOCITIES -",1,4801
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,31/05/2017,"[G0050000004] HIMGRN:B17E147810, INSP COOP SOCS SADAR BLOCK MANDI CO-OPERATIVE SOCITIES -",1,11672
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,05/06/2017,"[H0050000001] HIMGRN:B17F105897, INSP SUNDER NAGER CO-OPERATIVE SOCITIES -",1,12000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,13/07/2017,"[I0050000001] HIMGRN:B17G121185, INSPECTOR COOPERATIVE SOC SUNDERNAGAR CO-OPERATIVE SOCITIES -",1,37000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,17/07/2017,"[I0050000002] HIMGRN:B17G124088, INSPECTOR COOP SOCS SADAR BLOCK CO-OPERATIVE SOCITIES -",1,21500
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,29/07/2017,"[I0050000003] HIMGRN:B17G147849, INSPECTOR COOP SOCIETIES DRANG BLOCK CO-OPERATIVE SOCITIES -",1,15804
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,24/08/2017,"[J0050000002] HIMGRN:B17H129807, INSPECTOR COOPARATIVE SOCS SUNDER NAGER CO-OPERATIVE SOCITIES -",1,500
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,29/08/2017,"[J0050000004] HIMGRN:B17H136711, INSPECTOR COOPRATIVE SOCS BALH CO-OPERATIVE SOCITIES -",1,55120
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,31/10/2017,"[L0050000001] HIMGRN:B17J139387, THE LAXMI CAS CO-OPERATIVE SOCITIES -",1,10000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,31/10/2017,"[L0050000002] HIMGRN:B17J140637, INSPECTOR COOP SOCS BALH CO-OPERATIVE SOCITIES -",1,10000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,12/12/2017,"[N0050000001] HIMGRN:B17L113614, THE JHUNGI CAS LTD CO-OPERATIVE SOCITIES -",1,5000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,24/01/2018,"[C0050000001] HIMGRN:B18A136591, THE LAXMI CAS CO-OPERATIVE SOCITIES -",1,18655
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,30/01/2018,"[C0050000003] HIMGRN:B18A142026, INSPECTOR COOP SOCS SUNDERNAGAR CO-OPERATIVE SOCITIES -",1,24000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,08/03/2018,"[E0050000001] HIMGRN:B18C110071, INSPECTOR COOPERATIVE SOCS BALH CO-OPERATIVE SOCITIES -",1,3000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,15/03/2018,"[E0050000002] HIMGRN:B18C120543, INSPECTOR GOHAR CO-OPERATIVE SOCITIES -",1,40375
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,20/03/2018,"[E0050000003] HIMGRN:B18C133748, THE DEVWAL KAMESHWER COOP SSCIETY CO-OPERATIVE SOCITIES -The Devwala Kaeshwer Mahila weaver Coop Sciety",1,1000
MDI00-515-ASSTT.REGISTRAR COOP. SOC. MANDI,0050-DIVIDENDS & PROFITS,0050-00-200-01-CO-OPERATIVE SOCITIES,21/03/2018,"[E0050000004] HIMGRN:B18C135000, THE JHUNGI CAS CO-OPERATIVE SOCITIES -",1,10000
