DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI02-208-GSSS PASHAKOT BAROT,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,25/04/2018,"[F0070000012] HIMGRN:B18D137559, PRINCIPALGSSSBAROT RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000045] HIMGRN:B17D168170, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,6925
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000029] HIMGRN:B17C142090, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,135
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/07/2017,"[I0202000001] HIMGRN:B17F140842, PRINCIPALGSSSPASHAKOTBAROT TUITION AND OTHER FEES -",1,1825
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000025] HIMGRN:B17H123562, PRINCIPALGSSSPASHAKOTBAROT TUITION AND OTHER FEES -",1,5230
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/11/2017,"[M0202000010] HIMGRN:B17K121159, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,5240
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000019] HIMGRN:B18D137342, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,65
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000020] HIMGRN:B18D137282, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,5660
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/05/2018,"[G0202000009] HIMGRN:B18E102262, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,6575
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/05/2018,"[G0202000030] HIMGRN:b18e134258, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,905
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,09/08/2018,"[J0202000001] HIMGRN:b18g151200, PRINCIPALGSSSBAROT TUITION AND OTHER FEES -",1,4480
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,31/05/2017,"[G0202000028] HIMGRN:B17C142136, PRINCIPALGSSSBAROT MISCELLANEOUS RECEIPTS -",1,24000
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,22/06/2017,"[H0202000012] HIMGRN:B17F113262, PRINCIPAL GSSS PASHAKOT BAROT MISCELLANEOUS RECEIPTS -",1,975
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,31/08/2017,"[J0202000027] HIMGRN:B17H132643, PRINCIPALGSSSPASHAKOTBAROT MISCELLANEOUS RECEIPTS -",1,800
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,29/09/2017,"[K0202000018] HIMGRN:B17I132825, PRINCIPALGSSSBAROT RECOVERIES OF OVER PAYMENT -",1,1708
MDI02-208-GSSS PASHAKOT BAROT,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-03-MISCELLANEOUS RECEIPTS,29/09/2017,"[K0202000017] HIMGRN:B17I135442, PRINCIPAL MISCELLANEOUS RECEIPTS -Salvage value of consumable store articles",1,2170
