DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,24/07/2017,"[I0202000001] HIMGRN:B17G105533, PRINCIPAL G C SERAJ LAMBATHACH TUTION AND OTHER FEES -",1,27550
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,24/07/2017,"[I0202000002] HIMGRN:B17G105627, PRINCIPAL G C SERAJ LAMBATHACH TUTION AND OTHER FEES -",1,19125
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000011] HIMGRN:B17G140692, PRINCIPAL TUTION AND OTHER FEES -",1,4100
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,06/12/2017,"[N0202000001] HIMGRN:B17L104009, PRINCIPAL TUTION AND OTHER FEES -",1,26400
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,22/01/2018,"[C0202000002] HIMGRN:B18A104686, PRINCIPAL GC SERAJ AT LAMBATHACH TUTION AND OTHER FEES -",1,300
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,22/01/2018,"[C0202000003] HIMGRN:B18A104518, PRINCIPAL GC SERAJ AT LAMBATACH TUTION AND OTHER FEES -",1,13400
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000006] HIMGRN:B18F141156, PRINCIPAL GC SERAJ AT LAMBATHACH TUTION AND OTHER FEES -Tution and Admission Fees for the Session 2018-19",1,23900
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,19/07/2018,"[I0202000001] HIMGRN:B18G110018, PRINCIPAL GC SERAJ AT LAMBATHACH TUTION AND OTHER FEES -admission and Tution fees",1,375
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,19/07/2018,"[I0202000002] HIMGRN:B18G109987, PRINCIPAL GC SERAJ AT LAMBATHACH TUTION AND OTHER FEES -Students Admission Fee and Tution Fees",1,38675
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000010] HIMGRN:B18G142832, PRINCIPAL GC SERAJ TUTION AND OTHER FEES -Tution fees and admission fee",1,8450
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,07/08/2018,"[J0202000001] HIMGRN:B18G151750, PRINCIPAL GC SERAJ AT LAMBATHACH TUTION AND OTHER FEES -",1,1900
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000006] HIMGRN:B18H138289, PRINCIPAL GC SERAJ TUTION AND OTHER FEES -Tution Fee and Admission fee",1,150
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,24/07/2017,"[I0202000004] HIMGRN:B17G112641, PRINCIPAL GC SERAJ AT LAMBATHACH RECOVERIES OF OVER PAYMENT -",1,8142
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,29/09/2017,"[K0202000001] HIMGRN:B17I130004, PRINCIPAL GC SERAJ LAMBATHACH RECOVERIES OF OVER PAYMENT -Recovery of over payments",1,13307
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,24/11/2017,"[M0202000003] HIMGRN:B17K105743, PRINCIPAL GC SERAJ AT LAMBATHACH RECOVERIES OF OVER PAYMENT -Recovery of Over Payment",1,813
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,24/11/2017,"[M0202000004] HIMGRN:B17K105660, PRINCIPAL GC SERAJ AT LAMBATHACH RECOVERIES OF OVER PAYMENT -Recovery of over Payment",1,276
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,24/11/2017,"[M0202000005] HIMGRN:B17K105678, PRINCIPAL GC SERAJ AT LAMBATHACH RECOVERIES OF OVER PAYMENT -Recovery of Over Payment",1,529
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,24/11/2017,"[M0202000007] HIMGRN:B17K111326, PRINCIPAL GOVT COLLEGE SERAJ AT LAMBATHACH RECOVERIES OF OVER PAYMENT -Recoveries of over payment from Sh. Sant Ram Retd. Peon Govt College Ser",1,29046
MDI03-214-PR GDC LAMBATHACH,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,31/03/2018,"[E0202000012] HIMGRN:B18C160872, PRINCIPAL RECOVERIES OF OVER PAYMENT -Recoveries of over payment of Sh. Netar Singh supdt from July 2007 to Ma",1,118605
