DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000013] HIMGRN:b17f142567, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition Fee",1,6575
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000014] HIMGRN:b17f145052, PRINCIPAL TUTION AND OTHER FEES -Admission and tuition Fee",1,6375
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/07/2017,"[I0202000001] HIMGRN:B17G103658, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition Fee",1,8600
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000003] HIMGRN:b17g118627, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition Fee",1,1560
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000008] HIMGRN:b17g134617, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition Fee",1,1890
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000006] HIMGRN:B17K127329, PRINCIPAL TUTION AND OTHER FEES -Admission and Tution fee.",1,7225
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000007] HIMGRN:B17K129250, PRINCIPAL TUTION AND OTHER FEES -Admission and Tution Fee",1,7325
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000008] HIMGRN:B17K131765, PRINCIPAL TUTION AND OTHER FEES -Admission and Tution Fee",1,7900
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/12/2017,"[N0202000001] HIMGRN:B17L112483, PRINCIPAL TUTION AND OTHER FEES -Admission and Tution Fee.",1,915
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000007] HIMGRN:B18F145299, PRINCIPAL TUTION AND OTHER FEES -Admission Fee and Tuition Fee",1,18775
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,07/07/2018,"[I0202000001] HIMGRN:B18G103096, PRINCIPAL TUTION AND OTHER FEES -Admission and Tuition Fee",1,3025
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000010] HIMGRN:B18G140505, PRINCIPAL TUTION AND OTHER FEES -Admission and tuition Fee",1,425
MDI04-214-PR GOVT DEGREE COLLEGE NIHARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000007] HIMGRN:B18H130647, PRINCIPAL TUTION AND OTHER FEES -Admission and tuition fees.",1,325
