DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2017,"[G0202000006] HIMGRN:B17E106430, PRINCIPAL TUITION AND OTHER FEES -",1,850
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000020] HIMGRN:B17E143039, PRINCIPAL TUITION AND OTHER FEES -",1,120
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000003] HIMGRN:B17H121641, PRINCIPAL TUITION AND OTHER FEES -",1,325
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/11/2017,"[M0202000001] HIMGRN:B17J141793, PRINCIPAL TUITION AND OTHER FEES -",1,315
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,09/01/2018,"[C0202000001] HIMGRN:B18A105794, PRINCIPAL GSSS BHAGEHAR TUITION AND OTHER FEES -",1,315
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2018,"[F0202000009] HIMGRN:B18D162836, PRINCIPAL GSSS BHAGEHAR TUITION AND OTHER FEES -",1,375
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/05/2018,"[G0202000005] HIMGRN:B18D174751, PRINCIPAL GSSS BHAGEHAR TUITION AND OTHER FEES -",1,20
MDI05-209-GSSS  BHAGEHAR LANGASAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,23/07/2018,"[I0202000004] HIMGRN:B18G108280, PRINCIPAL GSSS BHAGEHAR TUITION AND OTHER FEES -",1,180
MDI05-209-GSSS  BHAGEHAR LANGASAR,8011-INSURANCE AND PENSION FUNDS,8011-00-107-01-INSURANCE FUND,31/08/2018,"[J8011000001] HIMGRN:B18H134985, RAJINDER SINGH SAVING FUND INSURANCE FUND -",1,64
MDI05-209-GSSS  BHAGEHAR LANGASAR,8011-INSURANCE AND PENSION FUNDS,8011-00-107-02-SAVING FUND,31/08/2018,"[J8011000001] HIMGRN:B18H134985, RAJINDER SINGH SAVING FUND INSURANCE FUND -",1,176
