DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000005] HIMGRN:B17D165533, KAMAL PATI TUITION AND OTHER FEES -",1,3795
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000008] HIMGRN:B17D171420, KAMAL PATI TUITION AND OTHER FEES -",1,65
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000008] HIMGRN:B17E128498, KAMAL PATI TUITION AND OTHER FEES -",1,290
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000014] HIMGRN:B17E149118, KAMAL PATI TUITION AND OTHER FEES -SLC FEE",1,15
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000009] HIMGRN:B17F131073, KAMAL PATI TUITION AND OTHER FEES -",1,5
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000006] HIMGRN:B17I130682, KAMAL PATI TUITION AND OTHER FEES -",1,135
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/10/2017,"[L0202000003] HIMGRN:B17J121855, KAMAL PATI TUITION AND OTHER FEES -",1,4995
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/05/2018,"[G0202000007] HIMGRN:B18E121931, PRINCIPAL TUITION AND OTHER FEES -Admission fee Tution Fee Late Ad Fee",1,4730
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,22/02/2018,"[D0202000003] HIMGRN:B18B111986, PRINCIPAL MISCELLANEOUS RECEIPTS -Auction Money Receipt of General Store -Un -Serviceable Articles etc.",1,2500
MDI09-205-PR SSS SHARTI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,31/05/2018,"[G0202000011] HIMGRN:B18E138520, PRINCIPAL MISCELLANEOUS RECEIPTS -Auctioned Money Receipt of General Store",1,2100
