DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI12-510-SUPERINTENDENT OF POLICE,0039-STATE EXCISE,0039-00-101-01-LICENCE FEE.ETS,21/06/2018,"[H0039000028] HIMGRN:B18F106920, LOVELY WINE TRADERS ADDITIONAL LICENCE FEE FIXED LICENCE FEE ETC -L 14 SADHOT",1,75915
MDI12-510-SUPERINTENDENT OF POLICE,0039-STATE EXCISE,0039-00-101-03-ADDITIONAL LICENCE FEE,21/06/2018,"[H0039000028] HIMGRN:B18F106920, LOVELY WINE TRADERS ADDITIONAL LICENCE FEE FIXED LICENCE FEE ETC -L 14 SADHOT",1,3360
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/04/2017,"[F0041000011] HIMGRN:B17D109786, SDPO SARKAGHAT PENALTY -Receipt No. 0131767 to 0131769, compounded Rs. 700/- from the offender under the MV Act, 19",1,700
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/04/2017,"[F0041000022] HIMGRN:B17D113004, SHO PS SARKAGHAT PENALTY -",1,5300
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,27/04/2017,"[F0041000068] HIMGRN:B17D161220, SHO PS SARKAGHAT PENALTY -",1,8400
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000094] HIMGRN:B17D175333, SHO PS SARKAGHAT PENALTY -",1,7000
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/05/2017,"[G0041000001] HIMGRN:B17D172887, SDPO SARKAGHAT PENALTY -MV Act Compounded Fees. Reciept No. 0131770 to 0131777 Total 4000/ Rs",1,4000
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/05/2017,"[G0041000002] HIMGRN:B17D170967, SDPO SARKAGHAT PENALTY -RTI Application fee 30 Rs",1,30
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/05/2017,"[G0041000013] HIMGRN:B17E106330, SHO PS SARKAGHAT PENALTY -",1,2100
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000059] HIMGRN:B17E122948, SHO PS SARKAGHAT PENALTY -",1,5400
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000073] HIMGRN:B17E133931, SHO PS SARKAGHAT PENALTY -",1,3200
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000084] HIMGRN:B17E134389, SDPO SARKAGHAT PENALTY -Compounded Rs. 1400/- under the MV Act, 1988 from dated-01-05-2017 to 20-05-2017.",1,1400
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000085] HIMGRN:B17E134373, SDPO SARKAGHAT PENALTY -Compounded Rs. 500/- under the MV Act, 1988 on Dated --29-04-2017.",1,500
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000106] HIMGRN:B17E147133, SHO PS SARKAGHAT PENALTY -",1,2000
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,07/06/2017,"[H0041000001] HIMGRN:B17F100177, SHO PS SARKAGHAT PENALTY -",1,1900
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,07/06/2017,"[H0041000012] HIMGRN:B17F102426, SHO PS SARKAGHAT PENALTY -",1,6200
MDI12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/06/2017,"[H0041000053] HIMGRN:B17F119985, SHO PS SARKAGHAT PENALTY -",1,4000
