DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,22/06/2017,"[H0401000001] HIMGRN:B17F123860, HDO DHARMAPUR RECEIPTS FROM BOTANICAL GARDENS -",1,1335
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,25/05/2017,"[G0401000001] HIMGRN:B17E125516, DY DIRECTOR MANDI RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,6909
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,31/08/2017,"[J0401000001] HIMGRN:B17H122031, DY DIRECTOR HORT MANDI RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,42
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,31/08/2017,"[J0401000003] HIMGRN:B17H130294, DY DIRECTOR HORT MANDI RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,104
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,29/09/2017,"[K0401000001] HIMGRN:B17I136102, DY DIRECTOR HORT MANDI THROUGH HDO DHARAMPUR RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,744
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,28/03/2018,"[E0401000001] HIMGRN:B18C142848, DY DIRECTOR HORT MANDI RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,110
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,27/04/2018,"[F0401000001] HIMGRN:B18D161396, HDO DHARAMPUR RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,1936
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,24/05/2018,"[G0401000001] HIMGRN:B18E129746, SMS HORTICULTURE RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,1089
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,21/06/2018,"[H0401000001] HIMGRN:B18F108979, HEO MANDAP RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,1181
MDI15-051-DY. DIRECTOR HORT MANDI,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,07/07/2018,"[I0401000001] HIMGRN:B18G108025, SMS HORTICULTURE DHARAMPUR RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,1028
