DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2017,"[F0202000007] HIMGRN:B17D158547, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,1565
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/05/2017,"[G0202000010] HIMGRN:B17E125805, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,88
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/05/2017,"[G0202000011] HIMGRN:B17E135610, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,65
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000006] HIMGRN:B17F138715, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,57
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/07/2017,"[I0202000006] HIMGRN:B17G114628, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,945
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/10/2017,"[L0202000004] HIMGRN:B17J120473, PRINCIPAL GSSS GHARWASRA TUITION AND OTHER FEES -",1,945
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2018,"[G0202000015] HIMGRN:B18E148654, PRINCIPAL TUITION AND OTHER FEES -",1,1820
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2018,"[J0202000008] HIMGRN:B18H129222, PRINCIPAL TUITION AND OTHER FEES -",1,930
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-02-RECEIPT ON A/C OF INSPECTION FEE FROM PRIVATE INSTITUTIONS.,30/01/2018,"[C0202000011] HIMGRN:B18A135449, PRINCIPAL GSSS GHARWASRA RECEIPT ON A/C OF INSPECTION FEE FROM PRIVATE INSTITUTIONS -AUCTION OF OLD NEW PAPER AND TUTION FEE",1,1215
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-04-102-01-PUBLIC LIBRARY,30/01/2018,"[C0202000015] HIMGRN:B18A142980, PRINCIPAL GSSS GHARWASRA PUBLIC LIBRARY -",1,1370
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-04-102-01-PUBLIC LIBRARY,30/01/2018,"[C0202000016] HIMGRN:B18A143007, PRINCIPAL GSSS GHARWASRA PUBLIC LIBRARY -sports",1,290
MDI15-206-PRINCIPAL GHARWASRA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-04-102-01-PUBLIC LIBRARY,30/01/2018,"[C0202000017] HIMGRN:B18A143017, PRINCIPAL GSSS GHARWASRA PUBLIC LIBRARY -science",1,105
MDI15-206-PRINCIPAL GHARWASRA,8011-INSURANCE AND PENSION FUNDS,8011-00-107-01-INSURANCE FUND,30/12/2017,"[N8011000001] HIMGRN:B17L135909, PRINCIPAL GSSS GHARWASRA INSURANCE FUND -",1,18
