DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,0049-INTEREST RECEIPTS,0049-04-800-06-INT.ON LOANS&ADV.-SOIL CONSERVATION SCH.,03/08/2017,[J004900001 ] SMS AGRI INTEREST OF DEPOSIT,1,165386
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,0401-CROP HUSBANDRY,0401-00-800-03-MISCELLANEOUS RECEIPTS,29/05/2018,[G040100001 ] DY DIRECTOR AGRICULTURE PANGI ,1,50
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,07/04/2017,[F440100001 ] SMS AGRI SEED FEE,1,278798
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,12/04/2017,[F440100002 ] SMS AGRI COST OF AGRICULTURE SEED,1,169800
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,19/04/2017,[F440100004 ] SMS AGRI COST OF AGRICULTURE INPUT,1,195600
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,02/05/2017,[G440100001 ] SMS AGRI COST OF AGRICULTURE INPUT,1,103200
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,16/05/2017,[G440100002 ] SMS AGRI PANGI ATKILLAR COST,1,103200
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,30/05/2017,[G440100003 ] SMS AGRI COST OF AGRICUTURE,1,64500
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,27/06/2017,[H440100002 ] SMS AGRI PANGI AT KILLAR COST,1,2620
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,11/07/2017,[I440100001 ] SMS AGRI PANGI COST OF AGRI PEAS SEEDS,1,10
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,27/07/2017,[I440100004 ] SMS AGRI PANGI AT KILLAR FEE,1,57580
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,16/11/2017,[M440100001 ] SMS AGRI COST OF SEED,1,210000
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,17/11/2017,[M440100002 ] SMS AGRI COST OF SEED,1,165000
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,18/11/2017,[M440100003 ] SMS AGRI COST OF AGRICULTURE SEEDS,1,250000
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,02/12/2017,[N440100001 ] SMS AGRICULTURE PANGI AT KILLAR ,1,330000
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,17/02/2018,[D440100001 ] SMS HOLTICULTURE PANGI AT KILLAR ,1,259720
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,07/03/2018,[E440100001 ] SMS AGRI PANGI ,1,13120
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,07/03/2018,[E440100002 ] SMS AGRI PANGI ,1,60200
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,08/03/2018,[E440100003 ] SMS AGRI COST OF AGRICULTLURE INPUT SEEDS,1,10328
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,15/03/2018,[E440100004 ] SMS AGRI PANGI COST OF AGRI,1,195000
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,15/03/2018,[E440100005 ] SMS AGRI PANGI COST OF AGRI,1,2600
PNG00-525-DEPUTY DIRECTOR AGRICULTURE PANGI,4401-CAPITAL OUTLAY ON CROP HUSBANDRY,4401-00-901-01-PURCHASE OF IMPROVED SEEDS,29/03/2018,[E440100006 ] SMS  AGRICULTURE PANGI AT KILLAR ,1,250000
