DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/05/2017,"[G0202000012] HIMGRN:B17E104505, PRINCIPAL TUITION AND OTHER FEES -",1,4265
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/05/2017,"[G0202000013] HIMGRN:B17E104948, PRINCIPAL TUITION AND OTHER FEES -",1,3
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,28/06/2017,"[H0202000038] HIMGRN:B17F139911, PRINCIPAL TUITION AND OTHER FEES -",1,410
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/08/2017,"[J0202000009] HIMGRN:B17H106711, PRINCIPAL TUITION AND OTHER FEES -",1,2585
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,01/11/2017,"[M0202000002] HIMGRN:B17K100621, PRINCIPAL TUITION AND OTHER FEES -",1,4925
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,18/12/2017,"[N0202000024] HIMGRN:B17L118161, PRINCIPAL TUITION AND OTHER FEES -",1,16
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/03/2018,"[E0202000042] HIMGRN:B18C136361, PRINCIPAL TUITION AND OTHER FEES -",1,300
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,03/05/2018,"[G0202000012] HIMGRN:B18E105070, PRINCIPAL TUITION AND OTHER FEES -",1,3735
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,01/06/2018,"[H0202000003] HIMGRN:B18F101444, PRINCIPAL TUITION AND OTHER FEES -",1,1371
SML00-212-GSSS  BOILEAUGANJ,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,02/07/2018,"[I0202000003] HIMGRN:B18F146348, PRINCIPAL TUITION AND OTHER FEES -",1,285
