DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000027] HIMGRN:B17E134297, PRINCIPAL GSSS MAJHAR TUITION AND OTHER FEES -",1,1145
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2017,"[I0202000007] HIMGRN:B17G112980, PRINCIPAL TUITION AND OTHER FEES -SLC OF 10TH CLASS",1,5
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2017,"[I0202000008] HIMGRN:B17G112992, PRINCIPAL TUITION AND OTHER FEES -Admission fee and SLC off 9th and 10th class",1,10
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000003] HIMGRN:B17H106863, PRINCIPAL TUITION AND OTHER FEES -Adm, SLC and tuition fee",1,825
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/10/2017,"[L0202000026] HIMGRN:B17J140658, PRINCIPAL TUITION AND OTHER FEES -tuition fee of class +1 and +2",1,720
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/11/2017,"[M0202000010] HIMGRN:B17K115911, PRINCIPAL TUITION AND OTHER FEES -SLC fee of 9th class",1,10
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000013] HIMGRN:B17L123431, PRINCIPAL TUITION AND OTHER FEES -",1,720
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,"[E0202000037] HIMGRN:B18C133440, PRINCIPAL TUITION AND OTHER FEES -Admission fee of 9th and 10th class",1,15
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000007] HIMGRN:B18E103671, PRINCIPAL GSSS MAJHAR TUITION AND OTHER FEES -",1,1070
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000008] HIMGRN:B18E103531, PRINCIPAL GSSS MAJHAR TUITION AND OTHER FEES -",1,25
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000019] HIMGRN:B18F128401, PRINCIPAL TUITION AND OTHER FEES -Add.fee,Late fee, Tution Fee SLC",1,140
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000020] HIMGRN:B18F128412, PRINCIPAL TUITION AND OTHER FEES -SLC Fee",1,25
SML04-237-PRINCIPAL GSSS MAJHAR,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000010] HIMGRN:B18G120170, PRINCIPAL TUITION AND OTHER FEES -Tution Fee/SLC Fee",1,765
