DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/05/2017,"[G0043000001] HIMGRN:B17E139006, AE ELECTRICAL MATIYANA RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/05/2017,"[G0043000002] HIMGRN:B17E138976, AE ELECTRICAL MATIYANA RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,250
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000001] HIMGRN:B17L121763, ASSISTANT ENGINEER ESD HPSEBL THEOG RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000002] HIMGRN:B17L121758, ASSISTANT ENGINEER ESD HPSEBL THEOG RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000003] HIMGRN:B17L132652, ASSISTANT ENGINEER ESD HPSEBL THEOG RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,28/02/2018,"[D0043000001] HIMGRN:B18B100084, M/S AMBICE RESORT RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,28/02/2018,"[D0043000002] HIMGRN:B18B100056, M/S AMBICE RESORT RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,28/02/2018,"[D0043000003] HIMGRN:B18B100074, M/S AMBICE RESORT RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,28/02/2018,"[D0043000004] HIMGRN:B18B117539, M/S AMBIENCE RESORT RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,900
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,29/05/2018,"[G0043000001] HIMGRN:B18E148701, SUNIL VERMA RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,400
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,29/05/2018,"[G0043000002] HIMGRN:B18E146195, HOTEL SHIMLA HILLS THEOG RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,560
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,29/05/2018,"[G0043000003] HIMGRN:B18E148710, SUNIL VERMA RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,200
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,29/05/2018,"[G0043000004] HIMGRN:B18E148745, SUNIL VERMA RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,300
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/07/2018,"[I0043000001] HIMGRN:B18G123613, JCO AGRIFRESH RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/07/2018,"[I0043000002] HIMGRN:B18G123553, J C O AGRIFRESH LAFUGHATI RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
SML04-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/07/2018,"[I0043000003] HIMGRN:B18G123594, JCO AGRIFRESH RECEIPT UNDER THE INDIAN ELECTRICITY RULE -",1,500
