DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,29/04/2017,[F0041000002] S H O CHIRGOAN M V FEE,1,8200
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,29/04/2017,[F0041000003] S H O CHIRGAON CHALLAN FEE,1,6800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/05/2017,[G0041000003] S H O P S CHIRGIOAN m v fee,1,6000
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/05/2017,[G0041000004] S H O P S CHIRGIOAN M V FEE,1,1800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,30/06/2017,[H0041000001] S H O P S CHIRGIOAN M V FEE,1,3900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,30/06/2017,[H0041000002] SHO PS CHIRGIOAN M V FEE,1,3700
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/07/2017,[I0041000001] S H O CHIRGIOAN MV FEE,1,5800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/07/2017,[I0041000002] SHO CHIRGIOAN MV FEE,1,12300
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/08/2017,[J0041000001] SHO CHIRGIOAN MV CHALLAN,1,7800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,31/08/2017,[J0041000002] SHO CHIRGIOAN MV RECEPITE,1,9800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,30/11/2017,[M0041000002] SHO CHIRGIOAN MV RECEPT,1,3700
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,28/02/2018,[D0041000001] SHO CHIRGIOAN MV RECEPT,1,14900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000001] SHOP P S CHIRGOAN CHALLAN VID R C NO 005617660,1,5800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000001] S H O CHIRGAON RECERIT,1,4300
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000002] S H O RECEIPET,1,5900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2017,[H0041000003] S H O CHIRGAON RECEIPT,1,2700
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/09/2017,[K0041000001] S H O RECTIP,1,5700
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/09/2017,[K0041000002] SHO CHIRGAON MV ACT CHALLAN,1,5800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/10/2017,[L0041000001] S H O CHIRGAON RECEIPT,1,8000
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/10/2017,[L0041000002] SHO CHIRGIOAN MV RECEPT,1,7900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/10/2017,[L0041000003] SHO CHIRGIOASN MV CHALLAN,1,5900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/10/2017,[L0041000004] SHOCHIRGIOAN MV CHALLAN,1,4100
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/11/2017,[M0041000001] S H O CHIRGAON RECEIPYT,1,6900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/12/2017,[N0041000001] SHO CHIRGIOAN MV REC,1,17600
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/12/2017,[N0041000002] SHO CHIRGIOAN MV RECEPT,1,6300
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/01/2018,[C0041000001] S H O CHIRGAON RECEIPT,1,10600
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,[D0041000002] SHO CHIRGIOAN MV RECEPT,1,19600
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,[D0041000003] SHO CHIRGIOAN MV RECEPT,1,7400
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,[D0041000004] SHO CHIRGIOAN MV RECEPT,1,11800
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,28/02/2018,[D0041000005] SHO CHIRGIOANB MV RECEPET,1,13900
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/03/2018,[E0041000001] SHO CHIRGIOAN MV RECEPT,1,15500
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/03/2018,"[E0041000002] HIMGRN:B18C163461, SHO PS CHIRGAOM PENALTY -",1,13700
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,27/04/2018,"[F0041000001] HIMGRN:B18D154447, SHO CHIRGAON PENALTY -",1,11500
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/05/2018,"[G0041000001] HIMGRN:B18E100830, SHO CHIRGAON PENALTY -",1,5300
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/05/2018,"[G0041000002] HIMGRN:B18E126669, SHO PS CHIRGAON PENALTY -",1,10500
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2018,"[H0041000001] HIMGRN:B18F102553, SHO CHIRGAON PENALTY -",1,10600
SML07-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2018,"[H0041000002] HIMGRN:B18F125598, SHO CHIRGAON PENALTY -",1,3700
