DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000004] HIMGRN:B17E107759, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Admission fees and tuition fees of +1 and +2 class",1,5245
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000019] HIMGRN:B17E136247, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -10th class SLC Fees, 10+2 Late adm. Fees and Tuition Fees, 10+1 class Adm. F",1,225
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000031] HIMGRN:B17E152942, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Admission Fees and Tuition Fees of +1 and +2 Class",1,130
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000006] HIMGRN:B17F109480, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Auction Money received from Sh.Kalam Singh by auctioning oid and un repairab",1,405
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000002] HIMGRN:B17H102601, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -SLC Fees and Re-Admission Fees of 9th to 10+2 Class",1,351
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000004] HIMGRN:B17I114201, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -SLC Fees, Re-Admission Fees and Tuition Fees of 9th to 10+2 Class including",1,3360
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000009] HIMGRN:B17L123612, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Quarterly tuition fees of 10+1 and 10+2 classes and SLC Fees of 10+1 and 10+",1,3285
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/01/2018,"[C0202000003] HIMGRN:B18A103146, H M GMS BHAGOLI TUITION AND OTHER FEES -",1,56
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/01/2018,"[C0202000004] HIMGRN:B18A103226, HM GMS BHAGOLI TUITION AND OTHER FEES -",1,36
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,"[E0202000012] HIMGRN:B18C140595, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Re-admission/Admission Fees and Slc Fees of this school including GHS Kharap",1,3441
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000017] HIMGRN:B18E146233, PRINCIPAL JUBBALBOYS TUITION AND OTHER FEES -Tuition and other Fess of 11th and 12th class SLC and other fees of 9th and",1,5640
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,31/03/2018,"[E0202000010] HIMGRN:B18C140840, PRINCIPAL JUBBALBOYS RECOVERIES OF OVER PAYMENT -Recovery of over payment of Med. Reimb. iro Smt Rameshwari Devi W/O Sh.",1,875
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,31/03/2018,"[E0202000011] HIMGRN:B18C141029, PRINCIPAL JUBBALBOYS RECOVERIES OF OVER PAYMENT -Recovery of over payment of Med. Reimb. iro Sh. Nazar Lal Mokta Retired",1,474
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,30/06/2018,"[H0202000009] HIMGRN:B18F118216, PRINCIPAL JUBBALBOYS RECOVERIES OF OVER PAYMENT -Recovery of over payment iro Smt. Vidya Negi W/O Late Sh. Bhim Singh Neg",1,1960
SML09-206-PR SSS BOYS JUBBAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,31/08/2018,"[J0202000004] HIMGRN:b18h132361, PRINCIPAL JUBBALBOYS RECOVERIES OF OVER PAYMENT -Audit Recovery of MR iro Sh. Rohit Sauhta against Bill. No 100099/17 Dt.",1,1480
SML09-206-PR SSS BOYS JUBBAL,0235-SOCIAL SECURITY & WELFARE,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,30/11/2017,[M0235000001] PR GSSS BOY JUBBAL RECIPTS,1,80
