DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,29/04/2017,[F0041000062] IC P P CITY ROHRU COMPOUNDING CHALLAN,1,3000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-01-ROUTE PERMIT FEE,30/06/2018,[H0041000052] IC P P CITY ROHRU COMPOUNDING CHALLAN,1,2900
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-02-REGISTRATION FEE/INSPECTION FEE,30/06/2017,[H0041000092] S H O ROHRU M V ACT CHALLAN,1,6500
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000006] S H O ROHRU M V ACT CHALLAN,1,5100
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000007] S H O ROHRU M V ACT CHALLAN,1,5000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000008] I P P CITY COMPOUNDING CHALLAN,1,6400
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000018] C M V ACT CHALLAN,1,2300
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000020] S H O ROHRU M V ACT CHALLAN,1,9100
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000030] S H O ROHRU M V ACT,1,4100
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000037] I P P CITY ROHRU COMPOUNDING CHALLAN,1,6100
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000038] S H O ROHRU M V ACT CHALLAN,1,1500
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000044] S H O ROHRU M V ACT CHALLAN,1,5600
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000063] S H O ROHRU M V ACT CHALLAN,1,3200
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000075] S H O ROHRU M V ACT CHALLAN,1,5400
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000096] S H O ROHRU M V ACT CHALLAN,1,1000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,[F0041000097] S H O ROHRU M V ACT CHALLAN,1,8100
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000006] SHO ROHRU M V ACT CHALLAN,1,4300
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000012] S H O ROHRU M V ACT CHALLAN,1,2000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000033] S H O ROHRU M V ACT CHALLAN,1,3500
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000039] S H O ROHRU M V ACT CHALLAN,1,1500
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000045] S H O ROHRU M V ACT CHALLAN,1,3200
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000046] S H O ROHRU M V ACT CHALLAN,1,3400
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000058] S H O ROHRU CHALLAN MV ACT,1,5600
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000064] S H O ROHRU M V ACT CHALLAN,1,5000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000065] S H O ROHRU M V ACT CHALLAN,1,4500
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000066] S H O ROHRU M V ACT CHALLAN,1,7000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000067] R LA ROHRU M V ACT CHALLAN,1,4000
SML12-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,[G0041000069] S H O ROHRU M V ACT CHALLAN,1,5300
