DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,31/05/2017,"[G0202000002] HIMGRN:B17E111577, PRINCIPAL MISCELLANEOUS RECEIPTS -Charges of 140 Empty Bags Rs. 10/- (140x10=1400) GMS Bharech",1,1400
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000001] HIMGRN:B17E101341, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee+Late Adm. Fee+Tuition Fee+SLC (Rs. 655+120+2970+5= 3750/-)",1,3750
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000003] HIMGRN:B17E119318, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee+late Adm. Fee+Tuition Fee+SLC Rs. 60+70+270+10= 410/-",1,410
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2017,"[I0202000001] HIMGRN:B17G102889, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee+Re-Adm.+Late Fee+Tuition Fee+SLC Rs. 5+10+30+135+205= 385/-",1,385
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/09/2017,"[K0202000001] HIMGRN:B17I102776, PRINCIPAL TUITION AND OTHER FEES -Re. Adm. Fee+Tuition Fee+SLC== Rs. 10+6480+35= Rs. 6525/-",1,6525
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/11/2017,"[M0202000001] HIMGRN:b17k133063, PRINCIPAL TUITION AND OTHER FEES -SLC and Late Fee Rs. 15+4+19/-",1,19
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000001] HIMGRN:b17l124117, PRINCIPAL TUITION AND OTHER FEES -SLC Rs.15/-",1,15
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,"[E0202000003] HIMGRN:B18C141968, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee Rs. 30/- in r/o Govt. High School Bharech, Mashobra Block, u/c GSSS",1,30
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,"[E0202000004] HIMGRN:B18C157035, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee=375, Re-Adm Fee=18, Tuition Fee=3195 and SLC Fee=25 Total= 3613/-",1,3613
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000001] HIMGRN:B18E100669, PRINCIPAL TUITION AND OTHER FEES -Tuition and other Fee= Adm. Fee+Late Fee+Tuition Fee+SLC Fee= Rs.770+60+3420",1,4270
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000002] HIMGRN:B18E119677, PRINCIPAL TUITION AND OTHER FEES -Tuition Fee and other Fee= Adm. Fee, Late Fee, Tuition Fee and SLC Fee= Rs.",1,295
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000001] HIMGRN:B18F100830, PRINCIPAL TUITION AND OTHER FEES -Admn. Fee, Late Admn. Fee, Tuition fee and SLC Fee= Rs. 10+10+45+100= Total=",1,165
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000002] HIMGRN:B18F113455, PRINCIPAL TUITION AND OTHER FEES -SLC Fee= Rs. 45 Total =45/-",1,45
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000004] HIMGRN:B18F141947, PRINCIPAL TUITION AND OTHER FEES -SLC Fee Rs. 165/- (Rs. One Hundred Sixty Five only)",1,165
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000001] HIMGRN:B18G115001, PRINCIPAL TUITION AND OTHER FEES -SLC Fee Rs.25/- (Twenty Five only)",1,25
SML13-200-GSSS JUNGA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000003] HIMGRN:B18G151125, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee+Tuition Fee+SLC Fee= Rs. 5+2835+30=Total Rs. 2870/-",1,2870
