DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,[I0202000001] PRINCIPAL GDC CHOPAL ADMISSION FEE,1,7925
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,[I0202000002] PGDC CHOPAL ADMISSION FEE,1,2825
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,[I0202000005] PGDC CHOPAL ADMISSION FEE,1,1400
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,[M0202000002] PRINCIPAL GOVT D C CHOPAL tution fee,1,8100
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,[M0202000003] PRINCIPAL GOVT DEGREE COLLEDGE CHOPAL tution fee,1,300
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/12/2017,[N0202000001] PRICIPAL GDC CHOPAL re admission fee,1,100
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/12/2017,[N0202000005] PRINCIPAL GDC CHOPAL re admission fee,1,100
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000003] HIMGRN:B18F145095, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -",1,5900
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000002] HIMGRN:B18G102118, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Tution and Admission Fees.",1,7350
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000004] HIMGRN:B18G134945, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Admission and Tution Fee.",1,2875
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000006] HIMGRN:B18G151472, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Re Admission Fee",1,100
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000004] HIMGRN:B18H112901, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Re Admission Fee",1,100
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000005] HIMGRN:B18H117246, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Admission and Late fine fee",1,455
SML14-215-PRINCIPAL GOVT DEGREE COLLEGE CHOPAL,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000009] HIMGRN:B18H125818, PRINCIPAL GDC CHOPAL TUTION AND OTHER FEES -Admission Re-Admission and Tution Fee",1,1550
