DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,30/06/2017,[H0202000015] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,105
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,[H0202000004] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,1310
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2017,[I0202000029] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,585
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/11/2017,[M0202000003] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,700
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,[N0202000017] PR. GSSS BHARANOO TUTION AND OTHER FEE,1,585
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,[E0202000002] PR. GSSS BHARANOO TUTION AND OTHER FEE,1,185
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2018,[F0202000003] PR. GSSS BHARNOO TUTION AND OTHER FEE,1,895
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,[G0202000006] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,475
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,[H0202000002] PR. GSSS BHARANOO TUTION AND OTHER FEES,1,30
SML15-225-GSSS BHARANOO,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000024] HIMGRN:B18G130596, PR GSSS BHARANOO TUITION AND OTHER FEES -TUITION AND OTHER FEES AMOUNT 585",1,585
