DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,01/05/2017,"[G0049000001] HIMGRN:B17D173533, CJM NAHAN MISCELLANEOUS -Surety amount in case State Vs. Vishwajeet",1,15000
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,05/04/2017,"[F0070000002] HIMGRN:B17D103405, CJM NAHAN FINES AND FOREFEITURES -Fines under MV ACT",1,12600
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/04/2017,"[F0070000006] HIMGRN:B17D112146, CJM NAHAN FINES AND FOREFEITURES -Fines under MV ACT",1,500
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/04/2017,"[F0070000018] HIMGRN:B17D122138, CJM NAHAN FINES AND FOREFEITURES -Fines under MV and Mines Act",1,21500
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,18/04/2017,"[F0070000032] HIMGRN:B17D142512, CJM NAHAN FINES AND FOREFEITURES -Fines under M.V.Act",1,1000
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,"[F0070000035] HIMGRN:B17D149366, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,900
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,21/04/2017,"[F0070000047] HIMGRN:B17D155326, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,9200
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,24/04/2017,"[F0070000049] HIMGRN:B17D160340, CJM NAHAN FINES AND FOREFEITURES -Fines under summary cases",1,11800
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,24/04/2017,"[F0070000050] HIMGRN:B17D160364, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,11200
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,27/04/2017,"[F0070000058] HIMGRN:B17D169734, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,1100
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,"[F0070000059] HIMGRN:B17D174608, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,3300
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,02/05/2017,"[G0070000003] HIMGRN:B17E102569, CJM NAHAN FINES AND FOREFEITURES -Fines under Mine and MV Act",1,15600
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/05/2017,"[G0070000014] HIMGRN:B17E112482, CJM NAHAN FINES AND FOREFEITURES -Judicial fine in MV Act case",1,1000
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/05/2017,"[G0070000017] HIMGRN:B17E114443, CJM NAHAN FINES AND FOREFEITURES -MV Challan",1,18200
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,09/05/2017,"[G0070000022] HIMGRN:B17E115831, CJM NAHAN FINES AND FOREFEITURES -Compounding amount in case Stat of H.P. Vs. Sandeep Singh and anr.",1,10000
SMR00-508-CIVIL JUDGE (SR DIVISION) NAHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,11/05/2017,"[G0070000032] HIMGRN:B17E117742, CJM NAHAN FINES AND FOREFEITURES -Fines under MV Act",1,7500
