DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/06/2017,"[H0049000001] HIMGRN:B17F135674, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. 10/2016 to 04/2017",1,62366
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/06/2017,"[H0049000002] HIMGRN:B17F135607, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. 1/2017 to 3/2017 (DDA Fund)",1,23146
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/06/2017,"[H0049000003] HIMGRN:B17F135648, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. 1/2017 to 4/2017 (Misc. fund)",1,104527
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/12/2017,"[N0049000002] HIMGRN:B17L133131, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest (FICcDDA Building) w.e.f. April 17 to Octo",1,187543
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/12/2017,"[N0049000003] HIMGRN:B17L133114, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. April 17 to September 17",1,114017
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,30/12/2017,"[N0049000004] HIMGRN:B17L133089, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest (Misc) w.e.f. April 17 to October 17",1,158501
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,23/03/2018,"[E0049000001] HIMGRN:B18C124723, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. October 2017 to January 2018 ( Buil",1,75635
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,23/03/2018,"[E0049000002] HIMGRN:B18C124637, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. October 2017 to January 2018 (Misc",1,45295
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0049-INTEREST RECEIPTS,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,23/03/2018,"[E0049000003] HIMGRN:B18C124749, SDSCO_PAONTA INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest w.e.f. October 2017 to December 2018(DDA F",1,46618
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-01-RECEIPTS FROM HIRE OF MACHINERY,31/07/2018,"[I0575000004] HIMGRN:B18G132484, SDSCO_PAONTA RECEIPTS FROM HIRE OF MACHINERY -Cost of empty cement bags of CSCS Bekad Khala (DC Fund)",1,265
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-02-RECEIPTS FROM AUCTION,21/08/2017,"[J0575000002] HIMGRN:B17H116193, SDSCO_PAONTA RECEIPTS FROM AUCTION -Cost of 12 Nos. Tender forms.",1,25000
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,07/04/2017,"[F0575000001] HIMGRN:B17D109132, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Recovery of 62 bags cement from KVS FIS Deed Bagar RKVY",1,13191
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,07/04/2017,"[F0575000002] HIMGRN:B17D108747, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Cost of Empty bags of cement of FIS Deed Bagar RKVY",1,2215
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,29/04/2017,"[F0575000003] HIMGRN:B17D160810, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Cost of empty cement bags of FIS Bhugiari RKVY",1,1080
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,29/04/2017,"[F0575000004] HIMGRN:B17D160485, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Cost of empty cement bag of FIS Dimti RKVY",1,970
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,09/05/2017,"[G0575000001] HIMGRN:B17E109084, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Cost of empty cement bags of TIS Bakras (DC Fund)",1,195
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,31/05/2017,"[G0575000002] HIMGRN:B17E136050, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Recovery of M.R.Claim of Sh. Upender Singh ADO Vr.No.32 of",1,19860
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,31/05/2017,"[G0575000003] HIMGRN:B17E136165, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Recovery of M.R.Claim of Sh. Asif Iqbal Jr.Asstt. Vr.No. 23",1,239
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,31/05/2017,"[G0575000004] HIMGRN:B17E136136, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Recovery of M.R.Claim of Sh. Niranjan Singh Vr.No. 140 and",1,2532
SMR02-005-ASSTT SOIL. CON. OFF. PAONTA,0575-OTHER SPECIAL AREAS PROGRAMMES,0575-00-800-03-RECEIPTS FROM RECOVERY OF OVER PAYMENTS,31/05/2017,"[G0575000005] HIMGRN:B17E142519, SDSCO_PAONTA RECEIPTS FROM RECOVERY OF OVER PAYMENTS -Recovery of 26 Bags of cement o/ac of FIS Chalana Panota (D",1,7748
