DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,20/04/2017,"[F0401000002] HIMGRN:B17D140198, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -300 L TANK 24 KNAP SACK 12 WIRE 192.60KG 25 MM",1,4611
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,20/04/2017,"[F0401000003] HIMGRN:B17D145718, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,792
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,29/04/2017,"[F0401000004] HIMGRN:B17D156995, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,3180
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,22/05/2017,"[G0401000001] HIMGRN:B17E119565, HDO PAONTA RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,2436
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,31/05/2017,"[G0401000003] HIMGRN:B17E145465, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,1225
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,21/08/2017,"[J0401000003] HIMGRN:B17H112810, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -HEC DUGANA AT KAFFOTA",1,2393
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,29/09/2017,"[K0401000001] HIMGRN:B17I116731, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -M 45 40 KG, CABENDAZIM 19 KG, COPPER 50 KG, MET",1,1452
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,29/09/2017,"[K0401000002] HIMGRN:B17I116813, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -M45 OLD 40KG, NEW 80 KG, BENFIL 28 KG, COC 20 K",1,3472
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,30/11/2017,"[M0401000003] HIMGRN:B17K120897, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -",1,4315
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,30/11/2017,"[M0401000006] HIMGRN:B17K131598, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -1200 mtrs 25 mm pipe and 30 nos Felco 5 type",1,1225
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,08/12/2017,"[N0401000001] HIMGRN:B17L102523, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -700 mtrs 25mm 400 mtrs 20mm 10 l mono and chlor",1,1032
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,30/12/2017,"[N0401000002] HIMGRN:B17L109314, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -BALANCE PAYMENT OF 25MM PIPES",1,154
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,20/01/2018,"[C0401000001] HIMGRN:B18A118845, HEC KAFFOTTA RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -10 l meta 20 kg m 45",1,250
SMR02-044-DY. DIRECTOR. HORT. NAHAN,0401-CROP HUSBANDRY,0401-00-119-06-RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS,20/01/2018,"[C0401000002] HIMGRN:B18A124209, HDO PAONTA SAHIB RECEIPT FROM HANDLING CHARGES PESTICIDES/IMPLEMENTS -70 nos felco 5 type secaters",1,482
