DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/06/2018,"[H0202000004] HIMGRN:B18F122226, PR-SHILLAI TUITION AND OTHER FEES -",1,495
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000007] HIMGRN:B17F135880, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,9675
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000008] HIMGRN:B17F139383, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,28750
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000010] HIMGRN:B17F142720, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,19250
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000011] HIMGRN:B17F146326, PRINCIPAL GC SHILLLAI TUTION AND OTHER FEES -ok",1,24425
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,10/07/2017,"[I0202000002] HIMGRN:B17G101202, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -ok",1,9925
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000004] HIMGRN:B17G110167, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -ok",1,1600
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000005] HIMGRN:B17G119547, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,5425
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000008] HIMGRN:B17G131476, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,1225
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/07/2017,"[I0202000009] HIMGRN:B17G133113, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,1675
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000010] HIMGRN:B17G142532, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,2900
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,21/08/2017,"[J0202000002] HIMGRN:B17H111889, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,2350
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2017,"[J0202000012] HIMGRN:B17H135541, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,1850
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,29/09/2017,"[K0202000004] HIMGRN:B17I121853, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,500
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,24/10/2017,"[L0202000001] HIMGRN:B17J106836, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,400
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000005] HIMGRN:B17K121350, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,43500
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,08/12/2017,"[N0202000002] HIMGRN:B17L103907, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,23700
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/12/2017,"[N0202000011] HIMGRN:B17L128608, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,4500
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/01/2018,"[C0202000003] HIMGRN:B18A105123, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -Admission and Tuition fee in respect of PG Students",1,3025
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,20/01/2018,"[C0202000007] HIMGRN:B18A129435, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,525
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,28/02/2018,"[D0202000014] HIMGRN:B18B135689, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -Tuition and Admission fee UG Student on dated 17.2.18 and PG Student on dated",1,625
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000005] HIMGRN:B18F140799, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -Tuition fee and Admission Fee w e f 22 june 2018 to 26 june 2018 (UG Students",1,43925
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2018,"[H0202000007] HIMGRN:B18F144676, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -Tuition and admission fee on dated 27 june 2018 and 29 june 2018",1,27625
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,07/07/2018,"[I0202000001] HIMGRN:B18G101324, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,6775
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,21/07/2018,"[I0202000005] HIMGRN:B18G119640, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,3725
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000010] HIMGRN:B18H130794, PRINCIPAL GC SHILLAI TUTION AND OTHER FEES -",1,11350
SMR03-214-GOVT COLLEGE SHILLAI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,21/12/2017,"[N0202000007] HIMGRN:B17L118459, PRINCIPAL GC SHILLAI RECOVERIES OF OVER PAYMENT -Recovery of overpayment from Sh. Faquir Chand Peon",1,18979
