DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR07-208-GSSS BAGTHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-02-104-02-FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION,23/03/2018,"[E0070000007] HIMGRN:B18C131161, PRINCIPAL FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION -",1,160
SMR07-208-GSSS BAGTHAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-02-104-02-FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION,21/07/2018,"[I0070000001] HIMGRN:B18G112342, PRINCIPAL GSSS BAGTHAN FEES FINES FOREFEITURES BY STATE ELECTION COMMISSION -Fee etc.",1,625
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-04-MISCELLANEOUS RECEIPTS,05/08/2017,"[J0202000001] HIMGRN:B17H101619, PRINCIPAL MISCELLANEOUS RECEIPTS -recovery of over payment",1,981
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000013] HIMGRN:B17D175620, PRINCIPAL GSSS BAGTHAN TUITION AND OTHER FEES -Tution fees, SLC, Addmission fees,",1,1560
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000016] HIMGRN:B17E146090, PRINCIPAL GSSS BAGTHAN TUITION AND OTHER FEES -tusion fee, slc administion fee ,late add. fee",1,340
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/08/2017,"[J0202000002] HIMGRN:B17H101599, PRINCIPAL TUITION AND OTHER FEES -tussion fee,slc/admission fee",1,870
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000019] HIMGRN:B17H137645, PRINCIPAL TUITION AND OTHER FEES -",1,40
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/10/2017,"[L0202000008] HIMGRN:B17J131189, PRINCIPAL TUITION AND OTHER FEES -",1,870
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/12/2017,"[N0202000010] HIMGRN:B17L136160, PRINCIPAL TUITION AND OTHER FEES -",1,885
SMR07-208-GSSS BAGTHAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/05/2018,"[G0202000013] HIMGRN:b18e140973, PRINCIPAL TUITION AND OTHER FEES -",1,1380
SMR07-208-GSSS BAGTHAN,0235-SOCIAL SECURITY & WELFARE,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,21/12/2017,"[N0235000003] HIMGRN:B17L120697, PRINCIPAL INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -",1,80
SMR07-208-GSSS BAGTHAN,8449-OTHER DEPOSITS,8449-00-120-00- ,08/12/2017,"[N8449000001] HIMGRN:B17K133537, PRINCIPAL MISCELLANEOUS DEPOSITS -",1,378
