DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2017,"[G0202000006] HIMGRN:B17E117569, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,1170
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/07/2017,"[I0202000006] HIMGRN:B17G129731, DDO/PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,945
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/12/2017,"[N0202000001] HIMGRN:B17K133388, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,945
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,23/03/2018,"[E0202000001] HIMGRN:B18C109549, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,945
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/05/2018,"[G0202000002] HIMGRN:B18D175979, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,1350
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,05/06/2018,"[H0202000001] HIMGRN:B18E152578, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,360
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,22/05/2017,"[G0202000006] HIMGRN:B17E117569, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,805
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,10/07/2017,"[I0202000001] HIMGRN:B17F144173, PRINCIPAL MISCELLANEOUS RECEIPTS -",1,130
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,20/07/2017,"[I0202000006] HIMGRN:B17G129731, DDO/PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,145
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,08/12/2017,"[N0202000001] HIMGRN:B17K133388, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,115
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,23/03/2018,"[E0202000001] HIMGRN:B18C109549, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,215
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,05/05/2018,"[G0202000002] HIMGRN:B18D175979, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,720
SMR08-210-GSSS SER TANDULA,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,05/06/2018,"[H0202000001] HIMGRN:B18E152578, PRINCIPAL MISCELLANEOUS RECEIPTS TUITION AND OTHER FEES -",1,370
