DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/04/2017,"[F0041000004] HIMGRN:B17D108071, SI HARI BHAGAT NEGI PENALTY -Fine under M.V. Act",1,1700
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000016] HIMGRN:B17D128021, SI/SHO HARI BAGHAT PENALTY -Fine Under MV Act",1,10100
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000017] HIMGRN:B17D126976, POLICE STATION DARLAGHAT PENALTY -",1,2100
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000018] HIMGRN:B17D126949, POLICE STATION DARLAGHAT PENALTY -",1,1400
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000019] HIMGRN:B17D126932, POLICE STATION DARLAGHAT PENALTY -",1,5000
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000020] HIMGRN:B17D126916, POLICE STATION DARLAGHAT PENALTY -",1,6000
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000027] HIMGRN:B17D135569, SI/SHO HARI BHAGAT PENALTY -FINE UNDER MV ACT",1,1900
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000031] HIMGRN:B17D138799, SI/SHO HARI BHAGAT NEGI PENALTY -FINE UNDER MV ACT",1,1600
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000034] HIMGRN:B17D142884, SI/SHO HARI BAGHAT NEGI PENALTY -Fine Under MV Act",1,900
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000037] HIMGRN:B17D146236, POLICE STATION DARLAGHAT PENALTY -",1,1000
"SOL01-510-SUPERINTENDENT POLICE,SOLAN.",0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000038] HIMGRN:B17D146230, POLICE STATION DARLAGHAT PENALTY -",1,1100
