DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/04/2017,[F0070000004] JUDICIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,2100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,[F0070000009] JUDICIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,1900
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,[F0070000011] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN CASE NO 12OF 17 TITILED AS STAT V AMAR US 279 181 185 196 MV ACT,1,3000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,[F0070000012] JUDICIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,2000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000014] JUDICIAL MAGISTRIAL IST CLASS MAGISTIRAL FINE IMPOSED IN CASE NO 120 OF 17 STATE VS RANDER US 279,1,3700
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000020] JUDICIAL MAGISTRATE 1ST CLASS KASAULI MAGISTIRIAL FINE IMPOSED IN US MV ACT,1,1000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000022] CIVIL JUDGE JR DIV KASAULI FINE,1,1000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000002] CIVIL JUDGE JR DIV KASAULI FINE,1,1100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000005] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US 446 CRPC,1,400
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000006] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN CASE NO 2/3OF 2016 TITILED AS STATE VS AMRIT PAL VS 3PD ACT DECIDED ON 5.,1,1000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000008] JUDICIAL MAGISTRIAL IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,2800
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000010] JUDICIAL MAGISTRATE IST CLASS KASAULI DISTT SOLAN MAGISTRIAL FINE IMPOSED IN US MV ACT,1,500
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000013] JUDICIAL MAGISTRATE IST CLASS KASAULI MV ACT,1,800
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000017] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,500
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000019] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US 446 CRPC IN CASE NO 14OF 2016 TITILED AS STATE VS BHAG SINGH,1,5000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000020] JUDICIAL MAGISTRIAL IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,3700
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000023] JUDICIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/06/2017,[H0070000003] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,500
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/06/2017,[H0070000008] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,2000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/06/2017,[H0070000009] JUDICIAL MAGISTRATE KASAULI MAGISTRIALFINE IMPOSED IN US 446 CRPC,1,500
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/06/2017,[H0070000011] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSEDINUS MV ACT,1,200
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/06/2017,[H0070000016] JUDUCIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,300
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/06/2017,[H0070000022] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/06/2017,[H0070000025] JUDICIAL MAGISTRAIL KASAULI MAGISTRIAL FINE IMPOSED US MV ACT,1,4200
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/06/2017,[H0070000028] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,200
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,[H0070000029] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,[H0070000034] JUDICIAL MAGISTRATE KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,300
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,30/06/2017,[H0070000036] JUDICIL MAGISTRATE IST CLASS MAGISTRIAL FINE IMPOSED US MV ACT,1,1400
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/07/2017,[I0070000002] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN MV ACT,1,200
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000008] JUDICIAL MAGISTRATE IST CLASS MAGISTRIAL FINE IMPOSED IN US MV ACT,1,300
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000009] JUDICIAL MAGISTRATE IST CLASS MAGISTRIAL FINE IMPOSED IN US MV ACT,1,700
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000019] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN CASE NO 140OF 2017 TITILED AS STATE VS LAL SINGH VS 446 CRPC DECIED,1,5000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000021] CIVIL JUDGE JR DIV KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,1800
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000022] JUDICIAL MAGISTRIAL IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,2100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000025] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,300
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/07/2017,[I0070000027] JUDICIAL MAGISTRIAL IST CLASS MAGISTRIAL FINE IMPOSED IN US MV ACT,1,5000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/08/2017,[J0070000001] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,700
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/08/2017,[J0070000002] JUDICIAL MAGISTRIAL IST CLASS KASUALI MAGISTIRIAL FINE IMPOSED IN US MV ACT,1,500
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/08/2017,[J0070000007] CIVIL JUDGE JR DIV KASAULI FINE,1,3100
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,23/08/2017,[J0070000010] CIVIL JUDGE JR DIV KASAULI FINE,1,400
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/08/2017,[J0070000014] JUDICIAL MAGISTRATE IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,1000
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/08/2017,[J0070000015] JUDICIAL MAGISTRIAL IST CLASS KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,200
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/08/2017,[J0070000020] CIVIL JUDGE SR DIV KASAULI MAGISTRIAL FINE IMPOSED IN US MV ACT,1,600
SOL02-017-CIVIL JUDGE (JR DIVISION-II) KASAULI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/08/2017,[J0070000022] CIVIL JUDGE JR DIV KASAULI FINE,1,1100
