DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SOL02-202-PR GSSS CHAMIAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,31/08/2017,"[J0070000017] HIMGRN:B17H126935, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -",1,60
SOL02-202-PR GSSS CHAMIAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,22/03/2018,"[E0070000008] HIMGRN:B18C108735, PRINCIPAL GSSS CHAMIAN RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
SOL02-202-PR GSSS CHAMIAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,22/03/2018,"[E0070000014] HIMGRN:B18C113385, HEADMASTER RECEIPT FROM RIGHT TO INFORMATION ACT -",1,10
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,22/05/2017,"[G0202000008] HIMGRN:B17E112899, PRINCIPALGSSS CHAMIAN SECONDARY EDUCATION -",1,60
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,31/08/2017,"[J0202000010] HIMGRN:B17H126977, HEADMASTER SECONDARY EDUCATION -",1,75
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,30/01/2018,"[C0202000008] HIMGRN:B18A123928, PRINCIPAL SECONDARY EDUCATION -",1,5
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,08/05/2018,"[G0202000003] HIMGRN:B18E101363, PRINCIPAL SECONDARY EDUCATION -",1,5
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,08/05/2018,"[G0202000004] HIMGRN:B18E101247, PRINCIPAL SECONDARY EDUCATION -Over payment of HRA in r/o Smt. Manorma100x31=3100/-",1,3100
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,29/05/2018,"[G0202000017] HIMGRN:B18E136800, PRINCIPAL SECONDARY EDUCATION -",1,5
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2017,"[G0202000009] HIMGRN:B17E113156, PRINCIPAL GSSS CGAMIAN TUITION AND OTHER FEES -",1,5480
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000023] HIMGRN:B17E142846, PRINCIPAL GSSS CHAMIAN TUITION AND OTHER FEES -",1,780
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000012] HIMGRN:B17F137163, PRINCIPAL TUITION AND OTHER FEES -",1,115
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/09/2017,"[K0202000003] HIMGRN:B17I108534, PRINCIPAL TUITION AND OTHER FEES -",1,305
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/09/2017,"[K0202000006] HIMGRN:B17I119485, PRINCIPAL TUITION AND OTHER FEES -",1,7830
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,20/10/2017,"[L0202000001] HIMGRN:B17J114852, PRINCIPALGSSS CHAMIAN TUITION AND OTHER FEES -",1,275
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/10/2017,"[L0202000006] HIMGRN:B17J128581, PRINCIPAL TUITION AND OTHER FEES -",1,135
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/12/2017,"[N0202000005] HIMGRN:B17L112393, PRINCIPAL TUITION AND OTHER FEES -",1,10
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/01/2018,"[C0202000003] HIMGRN:B18A107525, PRINCIPAL TUITION AND OTHER FEES -",1,59
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/03/2018,"[E0202000008] HIMGRN:B18C113382, HEADMASTER GHS JAGJITNAGAR TUITION AND OTHER FEES -",1,200
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/04/2018,"[F0202000008] HIMGRN:B18D142148, PRINCIPAL TUITION AND OTHER FEES -",1,4195
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/04/2018,"[F0202000012] HIMGRN:b18d149001, PRINCIPAL TUITION AND OTHER FEES -",1,400
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2018,"[F0202000018] HIMGRN:B18D166167, PRINCIPAL TUITION AND OTHER FEES -",1,450
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2018,"[G0202000002] HIMGRN:B18E101335, PRINCIPAL TUITION AND OTHER FEES -",1,130
SOL02-202-PR GSSS CHAMIAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,21/05/2018,"[G0202000010] HIMGRN:B18E116536, PRINCIPAL TUITION AND OTHER FEES -",1,1590
