DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,10/04/2017,[F0070000003] ACJM NLG FINE,1,6000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,[F0070000006] ACJM NLG FINE,1,12200
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,20/04/2017,[F0070000010] ACJM NLG FINE,1,4000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000012] ACJM NLG FINE,1,11000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000014] ACJM NLG FINE,1,2200
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000015] ACJM NLG FINE,1,5000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000016] ACJM NLG FINE,1,2000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000019] ACJM NLG FINE,1,4000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000020] ACJM NLG FINE,1,2000
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000001] ACJM NLG FINE,1,12300
SOL05-002-CIVIL JUDGE (JR DIVISION) NALAGARH,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,22/05/2017,[G0070000004] ACJM NLG FINE,1,10000
