DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SOL07-201-PRINCIPAL GSSS SAYARI,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,10/01/2018,"[C0070000001] HIMGRN:B18A105350, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI fee of Rs 20",1,20
SOL07-201-PRINCIPAL GSSS SAYARI,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,09/03/2018,"[E0070000001] HIMGRN:B18B137563, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI fee of Rs 10 vide IPO No. 43F 360210 dated 17 feb 2018",1,10
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/07/2017,"[I0202000001] HIMGRN:B17F144477, PRINCIPAL TUITION AND OTHER FEES -",1,2360
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000006] HIMGRN:B17H130174, PRINCIPAL TUITION AND OTHER FEES -",1,1225
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/10/2017,"[L0202000005] HIMGRN:B17J139644, PRINCIPAL TUITION AND OTHER FEES -Re Admission fee of 10+2 class",1,10
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/10/2017,"[L0202000006] HIMGRN:B17J140943, PRINCIPAL TUITION AND OTHER FEES -",1,5
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/01/2018,"[C0202000004] HIMGRN:B18A104918, PRINCIPAL TUITION AND OTHER FEES -Tuition fee of class 10+1 10+2 from Oct 2017 to Dec 20217",1,1170
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,10/01/2018,"[C0202000005] HIMGRN:B18A104939, PRINCIPAL TUITION AND OTHER FEES -SLC fee of one student of 9th class",1,5
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/03/2018,"[E0202000005] HIMGRN:B18C119854, PRINCIPAL TUITION AND OTHER FEES -",1,1340
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2018,"[G0202000007] HIMGRN:B18D172860, PRINCIPAL TUITION AND OTHER FEES -Tuition Admission and Late fee of class 10+1 and 10+2",1,1715
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2018,"[G0202000008] HIMGRN:B18D171464, PRINCIPAL TUITION AND OTHER FEES -",1,150
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2018,"[G0202000010] HIMGRN:B18D171978, PRINCIPAL TUITION AND OTHER FEES -",1,423
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2018,"[G0202000012] HIMGRN:B18E106294, PRINCIPAL TUITION AND OTHER FEES -SLC fee of 9th class",1,5
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/06/2018,"[H0202000003] HIMGRN:B18E152623, PRINCIPAL TUITION AND OTHER FEES -Adm Tuition Late fee of class 10+1 3 studnt n 10+2 1 studnt and SLC of five",1,295
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2018,"[H0202000007] HIMGRN:B18F136411, PRINCIPAL TUITION AND OTHER FEES -SLC of Eleven student of 10+2 class",1,55
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/07/2018,"[I0202000006] HIMGRN:B18G149826, PRINCIPAL TUITION AND OTHER FEES -SLC fee of two student of Plus Two Class",1,10
SOL07-201-PRINCIPAL GSSS SAYARI,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-600-01-RECOVERIES OF OVER PAYMENT,10/01/2018,"[C0202000003] HIMGRN:B18A105266, PRINCIPAL RECOVERIES OF OVER PAYMENT -Recovery of over payment of Sh. Rajinder Sharma TGT NM for the month of",1,1560
