DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,15/06/2017,"[H0070000045] HIMGRN:B17F121870, DISTRICT EMP OFFICER UNA RECEIPT FROM RIGHT TO INFORMATION ACT -1. Manoj Kumar-50-00 2 .Kushal kumar-50-00",1,100
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,20/10/2017,"[L0070000046] HIMGRN:B17J124855, DISTRICT EMPLOYMENT OFFICER UNA RECEIPT FROM RIGHT TO INFORMATION ACT -sanjeev kumar 38-00",1,38
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,19/01/2018,"[C0070000067] HIMGRN:B18A127610, DISTRICT EMPLOYMENT OFFICER UNA RECEIPT FROM RIGHT TO INFORMATION ACT -SATISH KUMAR S/O SH. NIKKA RAM",1,50
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,22/03/2018,"[E0070000076] HIMGRN:B18C139996, DISTRICT EMPLOYMENT OFFICER UNA RECEIPT FROM RIGHT TO INFORMATION ACT -MOHINDERJIT SINGHVPO GONDPUR BULLAH",1,20
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,26/07/2017,"[I0230000018] HIMGRN:b17g139260, DISTRICT EMPLOYMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -Kanchan Devi D/O Sh. Faqir Chand 2000/-, Susham",1,5000
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,11/09/2017,"[K0230000006] HIMGRN:B17I111420, DISTRICT EMPLOYMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -Noordeen=3000, Radha=3000, Jaswant=3000, Deepsh",1,13000
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,14/09/2017,"[K0230000034] HIMGRN:B17I115553, DISTRICT EMPLOYMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -ALKAD/O SH. MANOHAR LAL- 2000-00",1,2000
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,15/09/2017,"[K0230000035] HIMGRN:B17I117191, DISTRICT EMPLOYMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -VINEY D/O SH. VISHWARTH VILL PANJAWER=1000",1,1000
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,18/10/2017,"[L0230000020] HIMGRN:B17J123403, DISTRICT EMPLOYMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -Indu bala=1000",1,1000
UNA00-517-DISTT EMPLOYMENT OFFICER UNA,0230-LABOUR & EMPLOYMENT,0230-00-800-07-OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT,24/10/2017,"[L0230000024] HIMGRN:B17J130393, DISTRICT EMPLOYEMENT OFFICER UNA OTHER MISCELLANEOUS RECEIPTS- EMPLOYMENT DEPARTMENT -RAJEEV KUMAR=1000-",1,1000
