DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-03-MISCELLANEOUS RECEIPTS,22/05/2018,[G0202000025] SDWG COLLEGE BEETAN AUCTION OF UNSURVECABLE,1,4012
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/06/2017,"[H0202000015] HIMGRN:B17F133894, PRNCIPAL GC BEETAN TUTION AND OTHER FEES -",1,8075
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,07/07/2017,"[I0202000001] HIMGRN:B17G100274, PRINCIPAL TUTION AND OTHER FEES -",1,42575
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,27/07/2017,"[I0202000007] HIMGRN:B17G112775, PRINCIPAL G C BEETAN TUTION AND OTHER FEES -",1,6150
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,27/07/2017,"[I0202000009] HIMGRN:B17G121253, PRINCIPAL TUTION AND OTHER FEES -",1,8000
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,27/07/2017,"[I0202000013] HIMGRN:B17G138845, PRINCIPAL GC BEETAN TUTION AND OTHER FEES -",1,8475
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2017,"[I0202000014] HIMGRN:B17G145162, PRINCIPAL GDC BEETON TUTION AND OTHER FEES -",1,375
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2017,"[J0202000009] HIMGRN:B17H123759, GDC BEETAN TUTION AND OTHER FEES -",1,200
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,18/09/2017,"[K0202000004] HIMGRN:B17I109649, G D COLLEGE BEETON TUTION AND OTHER FEES -",1,400
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000006] HIMGRN:B17K120064, PRINCIPAL TUTION AND OTHER FEES -",1,24900
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,30/11/2017,"[M0202000018] HIMGRN:B17K131156, PRINCIPAL TUTION AND OTHER FEES -",1,2700
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,18/12/2017,"[N0202000002] HIMGRN:B17L101113, PRINCIPAL TUTION AND OTHER FEES -",1,3600
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000015] HIMGRN:B18G131073, PRINCIPAL GOVT COLLEGE BEETAN TUTION AND OTHER FEES -",1,4575
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/07/2018,"[I0202000017] HIMGRN:B18G138572, PRINCIPAL TUTION AND OTHER FEES -",1,8875
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,24/08/2018,"[J0202000008] HIMGRN:B18H118245, PRINCIPAL TUTION AND OTHER FEES -",1,600
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-01-TUTION AND OTHER FEES,31/08/2018,"[J0202000016] HIMGRN:B18H129496, PRINCIPAL GC BEETAN TUTION AND OTHER FEES -Tution Fee",1,2650
UNA02-224-PRINCIPAL G.C. BEETON,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-103-04-Receipt on account of application fee from Private Universities.,30/11/2017,"[M0202000013] HIMGRN:B17K124385, PRINCIPAL GC BEETAN RECEIPT ON ACCOUNT OF APPLICATION FEE FROM PRIVATE UNIVERSITIES -Tution and Others fees",1,18600
UNA02-224-PRINCIPAL G.C. BEETON,0235-SOCIAL SECURITY & WELFARE,0235-60-800-01-MISC.RECEIPT ON A/C OF UNSPENT BALANCE,09/08/2018,"[J0235000001] HIMGRN:B18H101463, PRINCIPAL MISC.RECEIPT ON A/C OF UNSPENT BALANCE -RECOVERY OF OVERPAYMENT IN R/O SH.PUSHPA DEVI RETIRED RAISED",1,4025
